sgRNA,Gene,Ts13.initial,Ts13.final
100263696,DEPDC4,2061,2491
56254164,ANKRD52,705,717
8080916,ALOX12B,1936,1908
90282892,CFAP69,916,1446
67263201,IQCH,532,641
7310647,ACSM4,1029,1198
51065431,SMAD4,1620,1088
87971307,CDK20,1188,1061
3585777,GIPC3,1454,1235
186268831,DGKG,466,32
154463437,PLXNA3,635,787
22569349,EPHA8,2102,1785
35148482,CREM,615,698
35511688,TULP1,931,1163
39186063,XIRP1,2083,2167
101840511,NXF5,1153,1441
136677096,AGPAT2,513,128
138659926,SVOPL,1379,1460
123575806,CSNK1G3,1571,1735
81987612,ATG10,2351,2034
124382860,OR8B2,2274,2012
6697460,C3,790,564
143804124,SCRIB,1474,1140
110673813,KCNA3,1080,1331
6734013,GPR108,1179,2009
4955554,ENO3,736,719
52536887,SMIM4,911,844
36297640,CCDC169,1173,1406
107693776,PAPSS1,2310,2661
229637211,URB2,780,101
86565319,CLCA4,2058,2663
87550553,ABCB1,2773,3403
81811437,GCGR,890,1198
23642835,KLHL29,905,923
74937959,COX5A,2068,1228
,Non-Targeting_Control-N479,1891,2405
123498672,RILPL1,1879,2259
56085068,ERBB3,1182,1525
130595547,FUBP3,626,839
131459228,PRRC2B,2453,2196
16485248,CALR3,1130,1644
7393266,RIOK1,2295,1435
111488707,TMIGD3,1188,1442
,Non-Targeting_Control-N498,1226,1519
70777170,AUTS2,517,624
,Non-Targeting_Control-N628,2282,3486
37614316,RSPO1,1611,1727
49375451,RHOA,770,443
29816566,PAGR1,3153,2811
1213679,TNFRSF4,826,698
49173407,PLP2,1462,1642
122800678,OR1K1,1245,2030
137147875,IL22RA2,1214,1526
51240368,TMX1,640,1027
30376174,MYLPF,1125,1620
168293180,TBX19,2782,2827
52904811,ECHDC2,2267,3122
137171427,TMEM210,1691,1435
111661666,GNG10,1016,1039
144841611,ZNF7,2949,3646
167792765,SERPINI1,1814,1659
155741999,RBM33,494,411
110223353,KCNC4,2545,3095
45983193,MAPT,1373,1479
82831311,ZNF750,1683,1629
44647514,PVR,1563,1769
90067256,ZNF710,1834,1972
48354042,SSX3,1194,1310
5244315,PTPRS,754,712
21642071,LDHB,1914,2538
151436297,CRYGN,634,452
80276376,MAT1A,780,910
50274429,SEMA3B,2573,1919
42629087,GHR,1630,1634
74835901,RNF169,1273,1687
225888011,LEFTY1,782,920
156786873,PRCC,957,566
122084799,TACC2,2159,2241
102776686,MMP10,2756,2718
129743974,XPNPEP2,899,993
34493484,ELF5,2477,3344
216660674,IGFBP2,1597,1435
36461272,CLDN14,974,1358
65779761,PDE7A,1270,1727
87960940,PTEN,1611,2920
101818244,OR4F15,1484,2022
11847660,NPPA,1630,2455
101295089,RNF149,632,551
83853766,RIPPLY2,886,1589
155129719,TIAM2,817,818
28894859,ATP2A1,1105,875
2909602,SLC22A18,2297,1824
19755736,TMCO4,1007,730
30158649,YPEL5,1571,715
47097164,EYA2,868,1101
122585305,DMBT1,1355,1115
6453127,TAPBPL,824,542
153588931,KIAA0922,1822,1950
29044760,OR2W1,1568,2061
96817425,CNNM3,1018,1062
104811325,HACE1,1335,1717
812556,RPLP2,1873,436
143509129,SPANXN3,743,761
81645126,TSPAN10,3285,3426
66087774,ASL,721,857
51959265,PCBP4,609,1170
161510834,FCGR2A,1965,2465
28326588,TMEM97,1095,1078
46634658,GNG8,2148,1916
6743763,TRIP10,976,1123
174976876,ADAM29,1738,1863
11337249,RAB3D,1883,1816
29366942,ERGIC2,1082,1455
66884643,PDP2,2359,1509
55649243,CCDC106,1862,2136
21236757,ECE1,1602,1888
30345097,SF3A1,1807,908
46125287,COL6A2,2946,4200
53826251,FTO,918,813
40516233,ZNF620,1281,1479
76177659,PBDC1,1352,1338
124508495,TATDN1,532,538
150692645,GIMAP2,883,970
10702014,QTRT1,1117,957
11553681,LITAF,3293,3454
71690694,PHLPP2,2276,2198
161548492,FCGR3A,978,814
58358687,OR5B17,520,499
30849384,ZNF438,975,1609
113710400,PHTF1,1444,1450
79296631,ZMIZ1,3097,3651
112173007,GPAM,675,799
67255792,SLC9A5,660,572
19226816,NCAN,2501,2170
134450883,AKR1B1,1552,1621
108600678,FAM102B,985,1084
3072132,OXT,1702,2075
9815144,RAB31,818,954
182603318,RGS16,2204,2684
203278665,CYP20A1,954,1175
219383136,DNPEP,1665,1782
44810263,BTBD19,2501,3192
168036868,GOLIM4,1031,1522
102599933,RASA4,2223,868
53930076,HSPB11,1521,2048
43501585,TJAP1,2155,2245
110985755,SHOC2,1379,1553
57182162,LRRC55,1566,1844
128098231,LARP1B,1342,2033
49982443,OR4C12,2051,3057
20985238,DNAH3,967,1040
67208317,LRRC29,3053,2866
34579110,C17orf102,1369,1178
41342409,NUSAP1,992,1118
71537162,CHST4,1410,1072
102657677,SLC9A2,1393,2087
96605931,FHL5,1628,1865
155494391,PLCH1,963,1024
23756417,CHP2,747,688
98149938,OR5H14,534,379
56497460,GCNT7,2333,2758
80168909,BCKDHB,1498,1168
154563125,FGB,1079,1064
153040233,SPRR2D,1781,2802
6054568,EIF2AK1,977,1401
183651098,KLHL24,833,1044
223393677,CCDC185,2183,2800
42756774,CHRNA6,1349,1528
17159150,TRDMT1,1259,2001
132270983,PDLIM4,855,574
159932565,IGSF9,1163,1259
103297548,PMPCB,1907,502
70927998,SLC7A3,1195,1990
30756182,PHKG2,1562,1716
128114732,LARP1B,1583,2285
53254720,IQSEC2,1313,1657
107689189,SLC26A4,3095,2559
156845377,INSRR,630,828
127523780,FAM129B,458,285
15945535,MYCN,1365,1542
19647287,MPHOSPH8,2807,1942
76611103,IQGAP2,1836,1538
166070517,FAM78B,1092,768
37024584,MPST,1759,2026
56930019,REST,535,457
143213885,GPIHBP1,2251,1873
13112981,TRMT1,846,444
36815149,PVALB,339,424
218391282,SLC11A1,835,796
65102112,UBAP1L,2341,1812
202724927,FAM117B,1148,1187
166308085,PRR18,1435,1714
25630434,TOP2B,1423,738
174082023,OLA1,2645,1591
14150188,NFIB,3249,5187
13233579,UCMA,1227,1031
93206882,C14orf142,1129,1053
27456843,ZNF184,1758,2442
33015492,BPIFB2,870,792
38896038,RHBDL2,780,1165
23186403,SCNN1G,1670,1765
108486433,KDELC2,785,891
50856254,KLK3,2515,2639
4280154,SHD,849,1323
55326493,IRX6,2536,3619
170504629,KCNIP1,1010,1443
64796814,MAP4K2,1743,1529
155294497,PKLR,1061,1132
41480508,TMPRSS2,2426,3430
150470029,MAMLD1,2170,3099
6643893,ZNF316,3015,3925
35250361,LSR,2154,6296
124314287,ZNF664-FAM101A,1118,852
132499574,C9orf171,636,1117
165830684,BCHE,1029,1086
109087275,TMEM245,1194,1070
132224460,STK32C,2503,3544
248816552,SH3BP5L,581,414
76256477,FAM47E-STBD1,1577,1553
104986540,C14orf79,1295,1552
30502032,KRTAP19-5,768,1000
138106622,AKR1D1,2207,2341
22493468,STEAP1B,1362,912
700200,TMEM80,1533,1610
58534399,ACOX2,1663,1881
38142064,TGM2,1996,2601
93897844,GCLM,2091,2268
57590410,ZIK1,801,735
78994357,SALL3,485,522
114726303,CSDE1,889,1368
24215644,NEDD8-MDP1,3044,3355
149545722,CXorf40A,738,962
57159180,DUXA,1353,1250
29663858,PRKD1,1691,1599
103051343,SLC10A2,680,863
127943981,MFSD8,1181,1872
153204746,LELP1,2086,2648
65218918,AK4,2484,2106
173989500,C5orf47,2302,3312
45596535,ERICH6B,2428,2899
10443279,ODC1,1750,1650
41181467,C6,2682,3874
16271716,OXNAD1,2474,2221
30905115,DCDC5,1986,2459
86970500,ADIRF,695,888
66119106,MEGF11,837,1241
46697799,PRKD2,2139,1751
101103247,NALCN,2042,2019
20090859,CFAP61,2175,2072
72959248,ZFHX3,593,896
20915582,LYRM1,2188,2919
150648634,GOLPH3L,2359,2939
44796792,PPIA,1488,1634
84433374,SUCLG1,1060,997
111126194,PVRL3,2701,3845
983959,SOX8,2926,4107
152652554,GABRQ,1981,1791
28759241,FAM222B,1287,1137
114608710,DENND2C,894,938
158671626,C4orf46,567,494
117920195,GDAP2,463,702
73844849,MRPL48,2788,2611
24080989,TP53I3,895,1281
153672184,PNCK,3458,3357
109691005,CASP6,1056,826
133352109,PRAP1,588,856
50256091,MAPK12,1459,1273
44761576,KIAA1143,2465,2641
52441403,SEMA3G,1478,1202
93586897,UNC79,1916,2280
7276052,STS,1526,2466
111320466,CUX2,2155,2867
125449559,FAT4,2482,3660
14474255,PTGER1,2335,2769
21766529,KCNJ8,1860,3245
43777690,IRAK4,956,900
,Non-Targeting_Control-N841,3590,4486
8702536,CLDN23,1849,1922
141418929,PCDHGB7,1831,2161
132755890,VNN2,1505,2141
173604998,NLGN1,736,978
70597644,MED6,1869,155
27277816,DNAJC5G,2387,3290
71635010,MCCC2,2163,2880
73098472,ANKRD17,2497,4694
32076825,TMEM39B,815,501
76154489,GPATCH2L,1176,1832
84634598,DNAH6,2578,2657
55574510,OR2AP1,1866,1942
110887813,PDCD4,2716,2987
55343386,OR4A16,2260,3782
121763021,TSN,2730,3096
74130417,FBXO15,2307,3185
110451510,RGAG1,1710,1543
92236521,KRIT1,1247,940
64802594,MAP4K2,1577,1408
67546645,AR,2442,3483
84870333,TRABD2A,1036,1090
42890665,C6orf226,728,781
49274073,C3orf62,613,614
64787064,SPTB,786,724
56105518,OR8H2,1642,2000
36537399,PIGW,831,565
20553191,FAM43B,934,924
34076408,CAPRIN1,830,603
26920329,PLAA,2393,2680
1621034,TCF3,808,1326
131529245,UCK1,1645,1998
63489378,SERPINB5,1515,1655
169081805,DHRS9,2164,2189
41233807,CTNNB1,2897,615
229432329,ACTA1,1027,1159
70600714,PRF1,531,572
115543312,FEM1C,1358,1544
70904581,LRRC49,884,1168
14517037,SAMSN1,1891,2496
83041746,BTBD1,1204,1609
32536691,N4BP2L2,728,1251
152686971,LCE2B,2196,1994
209834113,UNC80,835,1470
95268778,PDLIM1,758,1018
182681834,TENM3,2506,2730
68544943,PPP6R3,757,656
28717175,EXTL3,1191,977
83469037,FAM175A,1866,2026
26639241,C7orf71,2016,2142
73279287,NUMB,687,781
1390574,FOXF2,1683,2387
186618558,AHSG,1023,867
91436000,PABPC5,2820,3221
121093192,FCGR1B,727,567
104526612,OR13C4,1450,1669
57249437,APPL1,1674,2294
128052111,ACTRT1,677,1113
,Non-Targeting_Control-N664,2131,2776
8796549,TMEM186,621,849
98521256,CLDND1,1257,887
150368831,TCOF1,2444,1743
,Non-Targeting_Control-N967,2803,4969
32433386,ASXL1,826,778
144259339,OR2A7,2843,1802
,Non-Targeting_Control-N49,2971,4107
,Non-Targeting_Control-N842,3171,4462
46373275,CCR5,1075,743
6633687,SRD5A1,1880,2025
130440727,TMEM200A,862,1185
77710875,SLIRP,1617,604
81751599,FAM46A,498,397
33443841,AQP3,1412,1329
35984394,CCL14,1727,1589
44943833,FAM207A,1644,1918
16390810,NPIPA7,622,772
86148982,DACH2,2315,2922
142751063,LYPD2,1362,895
14770963,HIST4H4,1529,1096
69643035,CCND1,769,1
93738255,TAF1D,1435,937
38304485,C19orf33,981,849
109412305,PKHD1L1,888,1236
76292064,QRICH2,993,1228
173756018,KLHL20,1414,1458
44309700,ALX4,731,1416
124320024,OR8D2,463,674
100566619,PDCL3,3380,1514
56880159,SLC12A3,873,1333
83643437,IDNK,1567,1958
40206020,MAP3K10,2875,2713
138319509,NME9,592,463
87240727,CHMP2B,2248,3455
75817367,UNK,418,484
128104010,UGGT1,1043,982
151128597,AGAP3,903,960
84664468,SSX2IP,1335,1533
69280851,UGT2B28,828,1160
50632476,SYT3,835,857
116806437,GPRC6A,822,1207
121037146,NDNF,1052,1046
149210249,CP,2412,3543
62376333,ZNF365,1455,2036
159745912,MARCH7,1855,1527
133346578,MED22,1508,427
105386376,FHL2,2509,3152
51977072,RAB3B,944,675
113946102,HDAC2,902,1173
88961391,CCBL2,866,957
36099181,COL8A2,628,536
26956588,FGFR1OP2,3473,4116
78020244,ATP7A,2102,2694
83508878,POU3F4,1727,2437
45165179,TRAPPC6A,1027,898
14167220,XPC,794,642
67292664,MPP5,1182,1347
92192517,CPEB3,3184,4155
36501409,TRAF6,1369,1567
35383182,HMOX1,2471,2818
60648913,SIX1,1666,1870
49516151,PGBD3,821,1496
144095695,OR2A12,1300,1716
22954011,LACTBL1,2110,2134
34757820,NCOA6,3346,2439
46384805,ANXA8L1,723,879
45110642,WFDC5,1960,2164
21058056,RNASE8,980,604
80030103,MRPS28,1467,638
,Non-Targeting_Control-N424,1784,2593
37227701,C5orf42,969,896
24134403,NRSN1,1859,1467
161509876,FCGR2A,2665,3529
49847066,FLJ45513,2429,2530
17764398,FCHO1,1271,1480
88042841,C12orf29,2098,2819
16970116,GAB4,2368,3524
8842842,MBD3L1,1086,1454
151438139,CRYGN,857,1021
30088804,TBX6,884,1046
,Non-Targeting_Control-N29,2561,3489
113460693,CBWD2,340,173
5887289,NPHP4,799,939
37242626,ZNF383,1312,2155
33169267,BPIFA2,1630,2046
46799239,CYP4B1,920,1225
139476438,RBP2,2617,3396
98716254,C14orf177,820,1254
6709461,MRFAP1L1,2404,2133
53234984,TKT,2244,1073
161334891,GABRB2,1218,1518
153685080,NPR1,1856,1938
55302793,BRSK1,1912,2416
103654661,KLC1,1868,1669
112263069,SLC9C1,2041,3084
24337933,RIPK3,1098,1182
81931707,SPATA31D4,2084,2675
203045516,PPFIA4,1713,2379
238325849,TRAF3IP1,898,830
46265721,CCR3,1058,1345
34987627,MYH7B,528,489
54132824,FAM120C,1365,1603
24814218,CLIC4,1955,1935
54124790,MLIP,1418,1683
85580577,AKAP13,1291,1722
62506041,TMEM17,1346,1061
50250854,HDAC10,980,1812
122698342,C10orf120,1255,1535
155957783,ARHGEF2,904,1386
65541542,AXIN2,2816,1686
238183663,ILKAP,1888,1797
,Non-Targeting_Control-N734,2120,2784
26057677,SS18,1640,2041
45050645,DBX2,733,702
71482925,NADSYN1,1522,1380
144516060,RECQL4,2526,908
42624611,ATP8A1,1399,1554
98282420,BRI3,740,693
121374839,SRGAP2C,2001,1984
186197584,CYP4V2,1856,2827
41204520,ZHX3,1276,1279
36355342,STK40,617,629
35894134,AGO1,961,1215
172659447,FASLG,1058,1298
42169729,VPS39,1149,935
,Non-Targeting_Control-N709,2314,4015
57333097,SSRP1,1584,93
50033432,CNEP1R1,1241,1467
66665331,VCPIP1,966,1032
50892601,ADNP,641,459
47291084,ITGB3,1887,2615
31320386,EVI2A,2434,2943
4691252,ITPR1,889,572
89001648,S1PR3,1952,2212
215399319,FN1,1090,747
96327467,ITPRIPL1,1374,1549
30186605,CORO1A,802,498
30029454,FAM57B,2799,2164
3829363,C17orf85,892,878
67721410,NOL11,660,256
81192737,GTF2A1,1326,915
108784939,TMEM74,2142,2456
15079014,ACBD7,2789,2824
246507120,SMYD3,1309,1341
110263965,RDX,2037,2728
90957277,RCCD1,905,910
37008165,RIPPLY3,2988,3307
29944022,SCRN1,692,1104
5420248,RPAIN,1215,423
8751544,KIDINS220,2466,3179
140563382,UCP1,2807,3742
7462262,ARHGEF18,551,423
85200501,SYDE2,1883,2099
83157958,HDGFRP3,2684,3216
21673640,MLLT10,1246,1868
28356692,ZNF395,631,766
90019108,DECR1,1185,1499
47773417,SLC48A1,1530,1881
29356451,AP1B1,693,643
37386081,C17orf78,1780,1655
26156509,HIST1H1E,1407,1232
159178833,TANC1,712,938
133959873,C5orf15,1950,2249
97689548,XPA,1779,1472
81906769,PCYT2,2625,2050
59878104,TUBD1,651,203
3292292,OR3A1,835,1014
144266694,SCX,1631,1363
230668683,COG2,1251,1535
100612338,ASB7,893,1219
49823117,BRD1,1078,941
71972539,TPH2,747,724
154552741,UBE2Q1,1987,2751
201085477,NDUFB3,2414,435
24260690,TGM1,1239,1728
81834838,PPP1R27,941,790
90604422,CRTC3,1957,1814
14841331,OR7A10,1320,974
11056609,SRM,699,770
40775759,MIA,791,1343
41505105,KRT13,1648,1732
39674649,PGAP3,1584,1980
247712501,OR6F1,1081,1272
86831869,SLC10A6,2005,2234
11750181,GATA4,2611,2998
144119774,GYPA,1210,1264
87566146,ABCB1,742,1001
9602158,TMEM201,1463,1060
131276023,FAM78A,1644,2044
23556986,THTPA,1918,2136
108157467,SLC25A24,2043,2262
78598477,PKIA,1509,2347
28473995,PHACTR4,2595,3721
58353755,ARID4A,617,1149
19780798,OR4M1,1251,1536
27847077,RBKS,656,732
107960680,RSPO2,1535,2050
75505893,CASKIN2,1265,2282
238163780,FAM132B,1262,1061
10809854,TAS2R9,1132,1686
24060825,FKBP1B,1450,1770
44273739,ZNF233,957,832
37590512,C4orf19,3122,3473
51818100,NRD1,1317,352
1202518,CRLF2,763,866
10445860,ZNF518B,2544,3300
45480260,COG3,2346,1299
30104342,LEPROTL1,1251,1365
8798446,MFSD6L,1477,1468
220193250,RAB3GAP2,1041,1030
34937405,DNAJC21,775,501
6693994,S100P,1088,1214
149306322,AFAP1L1,805,931
30756486,PHKG2,1612,1558
95654117,RFESD,1549,3343
2833933,ZNF554,1354,1250
133369998,ECHS1,1326,960
31139670,PSORS1C1,1976,2685
85632837,AGTPBP1,2196,1968
6778323,BMP2,1151,977
6403749,APBB1,632,809
196072124,TFRC,1351,575
31414497,ITGAD,1087,780
26045662,HIST1H3C,1107,1186
15168765,C1orf195,1700,2129
57398682,ZNF548,1372,1584
9296527,ZNF699,2967,2885
100263588,DEPDC4,2413,2726
23116647,TNFRSF10C,632,506
11903697,ZNF69,883,1186
54009659,HOXC8,2774,2773
100574388,ZASP,669,1030
35033561,SCN1B,971,1350
171853664,TMEM212,776,865
67276083,ARFGEF1,781,1032
157106755,HAVCR2,485,391
47645127,CORIN,3728,3888
3624199,SHPK,1616,1444
33652792,RYR3,771,1159
66615939,EDA2R,1040,1240
57547653,ZNF550,3326,5432
54137344,MRPL15,1788,693
23686903,NDN,2629,3414
33070687,OLIG1,2693,3050
106328111,AIMP1,2916,3302
44505959,FSCB,1506,2191
1360372,MUM1,734,492
86571180,CLCA4,1928,2326
69228294,MRPS36,761,1010
93928453,FAM181A,2442,2731
14294791,RRAS2,2350,828
60005580,FOXB1,2250,2859
148941411,UST,601,853
126165632,DCAF12L2,802,1695
31796651,SPOCD1,1483,1819
99831682,ABCC2,772,1153
18779039,PPEF1,763,1119
22501598,ZBTB40,2416,2493
29996826,INO80E,1063,769
100297593,PKD2L1,1214,1028
21809657,ZNF43,2176,2656
67057423,COPS5,633,324
56952145,C8B,2201,2600
97006283,DLX6,458,445
102468614,LRWD1,2606,3453
19186053,MEF2BNB,1820,910
85695977,GNLY,1691,1474
69992441,SMOC1,2316,2898
14690007,C3orf20,1435,1932
73814046,C2orf78,1817,1261
167004293,MAEL,2391,3019
128240129,PTPRK,842,1160
143772378,PHACTR2,1336,1621
30026457,FKBP14,1704,1942
94939893,TP53INP1,1925,2222
53795816,ATP6V1H,965,234
38723648,ACTN4,1907,1681
50995523,SPAG9,2334,1687
2842229,RPS4Y1,1737,2053
122424906,PLEKHA1,804,1108
59658888,PATL1,459,634
149774778,HSFX1,1704,1340
17939742,PCM1,1684,1098
36227352,CCDC169-SOHLH2,1068,1896
88113548,ABCG2,2108,3230
40835565,ST13,869,709
23798918,GALE,1605,1263
13335590,UTY,1563,2295
122303268,FEZF1,597,724
30023870,C16orf92,1883,1524
90036434,GAS8,1745,1623
65210499,RGS9,1644,1333
23050425,KDM1A,1815,582
12936675,IQSEC1,889,1369
41921999,C2CD2,607,570
201022891,FAM126B,1238,1636
42406938,LYZL4,2173,2051
32435145,WT1,2517,3006
49952998,OR4C13,950,1091
125911453,DDX25,715,474
173364919,CDCA7,877,1330
34658483,NPSR1,2044,1767
229539519,ABCB10,2468,3042
82344914,GOLGA6L10,757,116
58947937,GLYATL1,1934,2814
,Non-Targeting_Control-N365,2352,4444
10048322,KLF11,2399,2946
7326289,NEURL4,797,896
127663349,STXBP1,708,658
37049736,HEATR5B,1196,1008
35174831,PROCR,620,792
153788104,IDH3G,2155,2294
106009912,MSANTD4,787,784
101775168,FGF8,1383,1244
102140987,TCEAL6,710,1028
112165029,FBLN7,838,833
120356939,MSI1,2262,2667
25351653,TMEM50A,914,838
5455980,ZNRF4,1785,1922
96840433,ANKRD23,2398,2440
54205113,MBD2,1897,3814
240682785,AQP12B,1223,1198
3029591,CCDC64B,2042,704
50354430,BRD7,1800,1231
17209432,CECR1,515,966
52509528,TRAM2,524,717
38696724,C15orf53,1600,1865
42548161,LRRC57,1766,1560
24533177,RCAN3,1131,992
65077517,KBTBD13,779,1038
173870747,ZBTB37,1308,1924
75830533,MYO6,1804,2295
109166953,ACACB,798,1029
43565661,XPO5,2810,902
100728764,TFG,913,416
50195757,ELAVL4,507,444
75169284,SLCO2B1,2014,2797
2427508,TIMM13,2121,1122
39830442,DYRK1B,1843,1098
155889604,VAMP7,1977,1983
158844109,MNDA,1571,1777
151870569,CACNB4,580,462
39446570,KLB,2362,2491
67013058,PPP1R42,1111,1131
61031672,PEX13,1152,1274
16271011,OXNAD1,2843,2511
4587021,OR52I2,958,897
160240229,DCAF8,1901,2200
131509370,PODXL,1280,1013
73978764,TMEM70,1245,1233
113390894,ALAD,906,1436
35907569,TYROBP,1211,1519
54808843,KIR2DL4,2010,2605
8022543,GLCCI1,2298,1929
98662697,APAF1,1891,2690
82406449,OGFOD3,666,706
82429425,HNRNPDL,733,587
146199932,PLSCR4,987,1200
129854669,TMEM45B,1191,1008
123954270,SPAM1,1695,1896
32367880,CMTM8,1331,1071
52951346,ZNF816,2179,2596
64954771,C11orf85,1223,1400
137245366,FAM166A,1272,1462
21000658,THAP7,1138,1004
47036004,NPAS1,923,1049
150672357,MYOZ3,907,1197
123550550,NDUFA5,2154,3063
39604668,LGALS13,1907,1801
196068088,TFRC,1434,522
6887025,RSAD2,796,1124
115684020,VANGL1,962,1228
89927150,TRIM49D2,2983,1626
3104277,OSBPL5,1188,1370
79158439,REG3A,1277,1526
64522141,ZBTB1,958,558
57040913,IGFBP7,790,1015
119024524,FAM184A,2008,2452
169774538,MYNN,1594,1602
105161785,POPDC3,622,709
139363821,PAIP2,1769,2504
70330332,CNOT2,1481,1286
161306752,MPZ,1438,2170
43936142,ARTN,1461,1067
30813202,KRTAP8-1,999,1368
10938897,TAS2R14,274,457
20747830,EDDM3A,2222,2306
76394143,RFK,2091,1282
204537493,MDM4,900,531
54347512,TINAG,1577,2004
92514755,ECM2,1664,1708
62688366,LRRN4CL,2381,2520
15553301,CC2D2A,2441,3745
,Non-Targeting_Control-N376,2075,2295
36684200,CDKN1A,1088,1394
137426248,NOXA1,920,734
48610606,HOXB7,1627,1289
31477876,REM1,1007,755
53723699,CALCOCO1,1937,2384
66025460,CATSPER1,1276,1235
89701874,WDR93,682,710
35270541,USF2,1808,2410
228050905,WNT3A,1938,2537
,Non-Targeting_Control-N147,3297,4648
49451523,MUT,2342,2901
47273582,KIF9,1595,1585
57052821,KIAA1586,902,1074
54985445,ESM1,585,430
91812478,TC2N,2557,3950
3122216,UBOX5,2324,2813
77044550,ST6GALNAC5,619,605
88858737,TRAPPC2L,1087,273
114626986,C9orf91,1555,1757
31546183,ATP6V1G2,1163,1566
36148628,GLIPR2,760,837
142864186,EPHB6,1626,2311
241248336,HDLBP,410,309
68159549,IFNG,1018,1161
43560963,XRCC1,3073,2508
227633023,C2orf83,1049,1226
100663163,TMTC4,815,941
20723130,SLCO1C1,1340,1903
56992530,BEND6,1747,1459
47585227,TIMP1,1618,1912
30927406,FBXL19,2011,1710
40310763,COL9A2,1285,2026
75313884,FILIP1,2280,2513
150336933,LRRC61,789,486
47570147,KCNK12,2335,1015
57379647,CX3CL1,2284,1950
7355910,TMEM95,734,838
7420962,SPEM1,3254,3292
33013933,BPIFB2,899,1064
2254445,JSRP1,1059,828
84425735,ATP2C2,3239,3301
57120563,SPIN2B,1261,2262
41696121,GPR34,1394,1262
5788718,OR52N1,1328,1561
6018017,AIMP2,648,1088
119392909,TNFAIP8,1017,934
79086438,REG1B,1967,2221
159206038,ACKR1,635,943
38689405,JOSD1,1412,1409
7049412,MBD3L2,1146,1112
173871059,ZBTB37,747,959
64068107,TCEA2,1749,1834
18538414,FKBP8,1553,1810
217620148,GPATCH2,1526,2002
,Non-Targeting_Control-N686,1620,2479
15084788,RBSN,713,518
117443981,DSCAML1,1768,2104
22489260,ZNF280B,2460,2645
206911937,FAIM3,708,970
117224084,PCSK7,775,1033
69109679,HAS3,2836,3557
56552597,THEGL,896,1079
159279866,WDSUB1,2301,2775
20552253,ACSM2B,1169,855
50757399,NIN,1205,1793
4130814,ECI2,1626,1855
66568335,CTSF,870,1063
3767019,ADRA2C,1198,903
10267483,KIF1B,869,803
14554737,SGCZ,1504,1380
,Non-Targeting_Control-N51,2505,3377
1026714,CNN2,1292,1317
100076021,CPN1,526,545
42398835,VDAC3,1035,523
31692511,PPP1R17,836,921
28590203,CCDC101,1254,202
179207645,ADAMTS2,2908,2986
57745190,CCDC182,1585,1721
33084975,BPIFB4,964,1097
83568643,SH3GL3,1166,1624
891251,BRD9,1318,597
54629459,SPTBN1,2808,3911
81642782,GBE1,2435,3072
43421725,SIK1,3460,3870
5122575,ARL8B,835,566
36451235,PRR5L,861,1109
74676658,AREL1,850,679
5686462,HSD11B1L,619,848
1831340,LRTM2,849,905
16448060,NECAP2,869,910
196209468,ZDHHC19,1027,1372
48462263,KCNJ14,1112,754
125773858,MMP21,920,1048
119146602,C3orf30,586,317
24799753,SOD3,2109,2335
140970989,SLC25A36,1203,1216
13011664,ELAC2,1809,2242
123430638,RILPL2,1651,2525
51409210,PXDNL,2975,2861
9759907,ZNF846,2033,3046
47839500,SCRN2,1545,1573
32543904,TOPORS,2387,2290
,Non-Targeting_Control-N113,2179,3529
98643980,MGAT4A,2223,2333
22958874,LACTBL1,2935,3171
42527327,CEACAM1,936,1130
119652909,SEPT6,1088,1679
21260335,ECE1,2064,2133
50998563,SPAG9,2146,1713
195864329,DNAH7,1168,1324
44565622,ZKSCAN7,1558,1933
132060766,IL3,3679,3812
74042633,ELN,1499,2266
98392000,RAP1GDS1,2027,1969
49999177,RACGAP1,2112,263
202335694,UBE2T,3352,2202
128318460,HS6ST1,2340,1143
41864914,KLHL11,1322,1412
120330194,TMEM136,2159,3445
7642358,PPFIBP2,1396,1446
112722262,FAM19A3,1216,1979
113071165,MCC,2213,2637
45553718,SRBD1,1166,436
11189806,ANGPTL7,1271,1547
14554850,SGCZ,1782,2018
48076917,CBX1,2338,2569
88983549,RBMXL1,1972,2898
57984346,TEPP,1720,1610
6918142,ENO2,1628,2407
144364142,ARHGEF5,2532,2580
102375944,LOC100289561,2422,3440
44190644,PARVG,1845,2781
52652312,SSX7,1131,1589
20704671,PACRGL,1228,1984
119621409,ENPP2,710,1055
249755,SH3YL1,2296,2077
11444042,FAM167A,1135,1500
81313789,TMEM105,1353,1375
13854692,WNT7A,1708,2410
1585128,MBD3,1258,1183
110019193,ANKRD13A,454,570
179567485,RUFY1,1022,1596
5422752,OR51Q1,506,486
62607759,EML3,616,660
,Non-Targeting_Control-N548,1972,2790
38991596,AKIRIN1,1227,1413
112558381,ATG3,1568,1396
47898058,NFXL1,1885,1888
180849745,ZFP62,659,668
32407696,N4BP2L1,879,918
33151189,WDR88,1037,1304
65531626,SCYL1,1333,1876
98283367,OR5H2,1173,1630
94769662,GSC,999,1025
73964989,DNAJB13,617,672
77448525,VIPAS39,3022,2671
231796269,COPS7B,884,950
155942194,RXFP4,1186,955
48926011,OTUD5,1853,2624
,Non-Targeting_Control-N79,2568,3791
64568376,PPP1R36,2046,2681
35039355,AGXT2,1042,752
35127126,FNDC8,1704,1764
74223745,LAT2,785,603
23754841,ZNF681,1703,2183
38138785,MYD88,1412,1660
48901998,PQBP1,1327,836
