sgRNA,Gene,Snu-1_clone_114_D=0,Snu-1_clone_114_D=10
AAK1_PKc_E2_40.1,AAK1,671,473
AAK1_PKc_E3_119.6,AAK1,235,342
AAK1_PKc_E4_109.3,AAK1,356,303
AAK1_PKc_E5_143.1,AAK1,394,407
AAK1_PKc_E6_122,AAK1,501,544
AAK1_PKc_E7_82.6,AAK1,466,576
AATK_PKc_E4_36,AATK,250,195
AATK_PKc_E5_119.11,AATK,542,287
AATK_PKc_E6_88.9,AATK,755,546
AATK_PKc_E7_134.11,AATK,314,748
AATK_PKc_E8_85.7,AATK,746,907
AATK_PKc_E9_122.1,AATK,762,462
ABL1_PKc_E4_120.11,ABL1,423,355
ABL1_PKc_E5_85,ABL1,1323,1081
ABL1_PKc_E6_178.11,ABL1,683,2295
ABL1_PKc_E7_185.15,ABL1,629,645
ABL1_PKc_E8_153.18,ABL1,1086,1051
ABL1_PKc_E9_68,ABL1,723,1222
ABL2_PKc_E10_68.4,ABL2,331,303
ABL2_PKc_E5_120.8,ABL2,193,77
ABL2_PKc_E6_85.1,ABL2,459,429
ABL2_PKc_E7_178.9,ABL2,497,628
ABL2_PKc_E8_185,ABL2,309,345
ABL2_PKc_E9_153.7,ABL2,995,1508
ACVR1_PKc_E10_131,ACVR1,707,690
ACVR1_PKc_E11_102.2,ACVR1,739,1358
ACVR1_PKc_E6_40,ACVR1,477,372
ACVR1_PKc_E7_147.15,ACVR1,535,537
ACVR1_PKc_E8_276.19,ACVR1,166,386
ACVR1_PKc_E9_198.4,ACVR1,396,469
ACVR1B_PKc_E10_102.5,ACVR1B,252,357
ACVR1B_PKc_E4_193.4,ACVR1B,541,849
ACVR1B_PKc_E5_123.4,ACVR1B,722,749
ACVR1B_PKc_E6_168.13,ACVR1B,921,950
ACVR1B_PKc_E7_157.5,ACVR1B,717,566
ACVR1B_PKc_E9_131.14,ACVR1B,469,284
ACVR1C_PKc_E4_193.16,ACVR1C,599,492
ACVR1C_PKc_E5_168.6,ACVR1C,375,393
ACVR1C_PKc_E6_157.1,ACVR1C,511,1285
ACVR1C_PKc_E7_125.7,ACVR1C,294,466
ACVR1C_PKc_E8_131.1,ACVR1C,725,616
ACVR1C_PKc_E9_102.6,ACVR1C,1069,1356
ACVR2A_PKc_E10_131.1,ACVR2A,986,485
ACVR2A_PKc_E5_87.3,ACVR2A,354,482
ACVR2A_PKc_E6_144,ACVR2A,162,286
ACVR2A_PKc_E7_146.12,ACVR2A,419,594
ACVR2A_PKc_E8_115.6,ACVR2A,1063,808
ACVR2A_PKc_E9_139.9,ACVR2A,735,937
ACVRL1_PKc_E6_147.3,ACVRL1,430,570
ACVRL1_PKc_E6_147.8,ACVRL1,619,302
ACVRL1_PKc_E8_198.28,ACVRL1,193,276
ACVRL1_PKc_E8_198.4,ACVRL1,941,1044
ACVRL1_PKc_E9_131,ACVRL1,287,219
ACVRL1_PKc_E9_131.6,ACVRL1,624,1043
ADCK1_PKc_E5_159.11,ADCK1,534,386
