sgRNA,Gene,Snu-1_clone_111_D=0,Snu-1_clone_111_D=10
AAK1_PKc_E2_40.1,AAK1,1088,566
AAK1_PKc_E3_119.6,AAK1,426,229
AAK1_PKc_E4_109.3,AAK1,334,495
AAK1_PKc_E5_143.1,AAK1,625,303
AAK1_PKc_E6_122,AAK1,701,391
AAK1_PKc_E7_82.6,AAK1,874,443
AATK_PKc_E4_36,AATK,350,132
AATK_PKc_E5_119.11,AATK,703,360
AATK_PKc_E6_88.9,AATK,1252,490
AATK_PKc_E7_134.11,AATK,401,416
AATK_PKc_E8_85.7,AATK,1200,639
AATK_PKc_E9_122.1,AATK,1211,405
ABL1_PKc_E4_120.11,ABL1,738,593
ABL1_PKc_E5_85,ABL1,1981,1041
ABL1_PKc_E6_178.11,ABL1,960,770
ABL1_PKc_E7_185.15,ABL1,1268,848
ABL1_PKc_E8_153.18,ABL1,1680,1164
ABL1_PKc_E9_68,ABL1,1187,818
ABL2_PKc_E10_68.4,ABL2,780,313
ABL2_PKc_E5_120.8,ABL2,218,147
ABL2_PKc_E6_85.1,ABL2,896,421
ABL2_PKc_E7_178.9,ABL2,992,591
ABL2_PKc_E8_185,ABL2,527,307
ABL2_PKc_E9_153.7,ABL2,1610,936
ACVR1_PKc_E10_131,ACVR1,1115,434
ACVR1_PKc_E11_102.2,ACVR1,1012,930
ACVR1_PKc_E6_40,ACVR1,998,416
ACVR1_PKc_E7_147.15,ACVR1,933,322
ACVR1_PKc_E8_276.19,ACVR1,316,183
ACVR1_PKc_E9_198.4,ACVR1,672,424
ACVR1B_PKc_E10_102.5,ACVR1B,464,245
ACVR1B_PKc_E4_193.4,ACVR1B,901,541
ACVR1B_PKc_E5_123.4,ACVR1B,1434,699
ACVR1B_PKc_E6_168.13,ACVR1B,1513,961
ACVR1B_PKc_E7_157.5,ACVR1B,1105,661
ACVR1B_PKc_E9_131.14,ACVR1B,757,336
ACVR1C_PKc_E4_193.16,ACVR1C,794,545
ACVR1C_PKc_E5_168.6,ACVR1C,561,374
ACVR1C_PKc_E6_157.1,ACVR1C,739,769
ACVR1C_PKc_E7_125.7,ACVR1C,588,204
ACVR1C_PKc_E8_131.1,ACVR1C,1219,533
ACVR1C_PKc_E9_102.6,ACVR1C,1937,1110
ACVR2A_PKc_E10_131.1,ACVR2A,1724,782
ACVR2A_PKc_E5_87.3,ACVR2A,512,565
ACVR2A_PKc_E6_144,ACVR2A,181,79
ACVR2A_PKc_E7_146.12,ACVR2A,556,271
ACVR2A_PKc_E8_115.6,ACVR2A,1742,1014
ACVR2A_PKc_E9_139.9,ACVR2A,1092,1082
ACVRL1_PKc_E6_147.3,ACVRL1,839,564
ACVRL1_PKc_E6_147.8,ACVRL1,1160,281
ACVRL1_PKc_E8_198.28,ACVRL1,303,168
ACVRL1_PKc_E8_198.4,ACVRL1,1425,569
ACVRL1_PKc_E9_131,ACVRL1,521,320
ACVRL1_PKc_E9_131.6,ACVRL1,755,410
ADCK1_PKc_E5_159.11,ADCK1,723,525
ADCK1_PKc_E5_159.31,ADCK1,747,474
ADCK1_PKc_E6_159.6,ADCK1,494,342
ADCK1_PKc_E7_117.13,ADCK1,731,499
ADCK1_PKc_E8_150.18,ADCK1,870,767
ADCK1_PKc_E9_99.4,ADCK1,1593,881
ADCK2_PKc_E1_534.7,ADCK2,459,225
