Gene	sgRNA	Control|beta	Control|z	Control|p-value	Control|fdr	Control|wald-p-value	Control|wald-fdr
KIAA1644	4	0.056951	1.033	0.58158	0.90625	0.30161	0.565
TRMT61A	4	-1.0949	-1.7103	0.014318	0.17465	0.087215	0.5
HLA-B	4	-0.0051853	-0.057735	0.80655	0.96245	0.95396	0.97517
SNX30	4	-0.20301	-1.6613	0.61793	0.92088	0.096659	0.5
CLVS2	4	0.10005	1.3938	0.43815	0.83869	0.16337	0.5
MTHFD2L	4	0.11795	0.53773	0.38182	0.80554	0.59077	0.75078
ADAMTSL5	4	-0.24481	-1.7415	0.53127	0.88395	0.081602	0.5
CFAP97	4	0.30178	1.5602	0.053147	0.37131	0.11871	0.5
PRDX6	4	0.22477	1.2921	0.13926	0.57418	0.19631	0.50354
TM4SF20	4	0.071519	1.5103	0.5343	0.88518	0.13096	0.5
SPRR4	4	-0.21204	-1.4782	0.59824	0.91242	0.13936	0.5
ZNF709	4	0.17074	1.1247	0.24292	0.69914	0.26071	0.53684
C22orf24	4	0.053985	0.68626	0.59262	0.90981	0.49255	0.71311
FUT5	4	0.33985	1.4799	0.029681	0.26194	0.1389	0.5
OPA1	4	-1.0884	-2.2953	0.015114	0.18106	0.021715	0.28292
ZDHHC4	4	0.30486	1.3704	0.050413	0.35868	0.17056	0.5
PHIP	4	-0.24022	-1.2683	0.54067	0.88878	0.2047	0.50624
E2F5	4	0.090588	1.1412	0.46913	0.85556	0.25379	0.53148
PIP5K1B	4	0.2396	1.4532	0.11673	0.5343	0.14617	0.5
PPP1CA	4	-0.079454	-0.76111	0.93989	0.98628	0.44659	0.67952
ETS1	4	0.093821	0.48275	0.45804	0.84897	0.62927	0.77267
COBLL1	4	0.57641	0.96755	0.0019389	0.053476	0.33327	0.58978
G3BP1	4	-0.34748	-1.8165	0.36636	0.79754	0.069294	0.48461
CCDC107	4	0.050023	0.44936	0.60774	0.91657	0.65317	0.78925
TRIM42	4	-0.099769	-1.6297	0.87775	0.97499	0.10317	0.5
OR2A2	4	0.1215	1.2031	0.37099	0.79951	0.22895	0.51719
LIAS	4	-1.547	-3.4304	0.0019887	0.053476	0.00060279	0.033218
CDC42	4	-1.4655	-3.2124	0.0027344	0.063879	0.0013165	0.05404
LOC149373	4	0.094771	0.6041	0.4554	0.84815	0.54578	0.73651
NPIPA5	4	-0.90275	-2.248	0.033608	0.27899	0.024579	0.30142
EIF2B2	4	-1.5871	-2.5475	0.0017898	0.052174	0.010851	0.19011
CLUH	4	-0.49173	-2.3291	0.20195	0.65512	0.019854	0.27001
HAUS2	4	0.19486	0.59525	0.19295	0.64571	0.55168	0.73666
SPATA31E1	4	0.16434	1.3209	0.25793	0.71707	0.18655	0.50162
PGLYRP3	4	0.17655	1.0893	0.23069	0.6871	0.27601	0.54751
PNPLA4	4	0.095771	0.75369	0.45227	0.84584	0.45104	0.68299
TRIM29	4	-0.28152	-1.2391	0.46669	0.85398	0.21531	0.5108
CSHL1	4	-0.54381	-1.658	0.16287	0.607	0.097324	0.5
SLC25A41	4	-0.19704	-1.3821	0.631	0.92622	0.16694	0.5
LILRA5	4	-0.012948	-0.071344	0.83424	0.96815	0.94312	0.96929
CALHM3	4	0.21669	1.2211	0.15348	0.59503	0.22203	0.51342
KRT74	4	-0.021235	-0.2659	0.86492	0.97315	0.79032	0.88074
POLDIP2	4	-0.39685	-2.207	0.30223	0.75356	0.027315	0.31998
DYTN	4	0.23511	1.0961	0.12384	0.54857	0.27304	0.54537
OR10A7	4	-0.1804	-1.0725	0.66814	0.93595	0.28351	0.55209
DYNLRB2	4	0.016367	0.20345	0.72964	0.9467	0.83878	0.90906
MINOS1-NBL1	4	-0.23508	-1.6195	0.55086	0.89319	0.10534	0.5
TRIM14	4	0.25757	1.4773	0.093567	0.48022	0.13961	0.5
ARF5	4	0.017577	0.14228	0.72522	0.94581	0.88686	0.93742
ZNF32	4	0.2383	1.4062	0.11872	0.53844	0.15968	0.5
CGREF1	4	0.021634	0.4958	0.7113	0.94339	0.62004	0.76658
SEBOX	4	0.11795	0.82253	0.38182	0.80554	0.41077	0.6494
H2AFB3	4	-0.94688	-2.1504	0.027692	0.25259	0.031527	0.34359
ZAR1	4	-0.091451	-0.81746	0.90315	0.98004	0.41366	0.65203
MTHFD2	4	-0.048457	-0.71463	0.95819	0.99166	0.47484	0.70077
ADAMTS4	4	-0.53419	-1.9835	0.16909	0.61674	0.047309	0.41325
SLC12A6	4	0.62803	1.3169	0.0013423	0.042925	0.18787	0.50162
HDLBP	4	-0.27589	-1.4023	0.47544	0.85936	0.16083	0.5
FAM149B1	4	0.10032	0.85385	0.43766	0.83857	0.39319	0.63606
NCLN	4	-0.16742	-1.3514	0.69812	0.94169	0.17656	0.50061
TAF10	4	-1.0369	-2.6204	0.018942	0.20684	0.0087827	0.1657
EHHADH	4	-0.055249	-0.62451	0.9821	0.99748	0.5323	0.73441
ACPT	4	-0.62665	-2.2737	0.114	0.53016	0.022983	0.29129
MRPS10	4	-1.2319	-2.7901	0.0072089	0.11206	0.0052693	0.12267
INTS7	4	-0.69076	-1.4814	0.087849	0.46575	0.1385	0.5
DEDD2	4	-0.1448	-1.4728	0.75455	0.95034	0.1408	0.5
DNAH6	4	0.27541	1.4444	0.073332	0.42978	0.14862	0.5
LYZL6	4	-0.11282	-1.8695	0.84066	0.96981	0.061549	0.45947
CCDC102B	4	0.15458	0.99931	0.28269	0.73906	0.31764	0.5777
SLC35G3	4	-0.13458	-0.80969	0.7807	0.95664	0.41812	0.65476
SLC26A1	4	-0.01405	-0.1845	0.83887	0.9691	0.85362	0.91783
DCBLD2	4	0.030054	0.37458	0.68107	0.93741	0.70797	0.82681
ANPEP	4	-0.061873	-0.59906	0.99672	0.99905	0.54913	0.73651
ABCB7	4	-1.5844	-2.3519	0.0017898	0.052174	0.018678	0.26053
TANC2	4	0.051686	0.39527	0.60152	0.91424	0.69264	0.81712
ZMYND15	4	-0.12887	-0.70332	0.79576	0.95867	0.48186	0.7057
DOCK8	4	0.091002	0.72675	0.46803	0.85512	0.46738	0.69457
CLEC1A	4	0.11333	0.883	0.39644	0.81538	0.37724	0.62297
SLC16A1	4	0.20336	1.27	0.17615	0.62223	0.20407	0.50562
CKMT1A	4	-0.3239	-1.6842	0.39967	0.81764	0.092152	0.5
MOCS2	4	-0.11027	-0.36182	0.84737	0.97026	0.71749	0.83292
NF1	4	0.12983	0.45784	0.34742	0.78712	0.64707	0.7848
UQCRHL	4	-0.85071	-2.7116	0.043204	0.32341	0.0066969	0.14253
DMKN	4	-0.084009	-0.87532	0.92547	0.98393	0.3814	0.62651
NCKIPSD	4	-0.30401	-1.4734	0.42935	0.83319	0.14064	0.5
FLAD1	4	-0.18229	-0.97652	0.66337	0.93451	0.32881	0.58614
HDAC11	4	-0.20288	-1.5767	0.61803	0.92088	0.11485	0.5
MAP3K15	4	-0.15857	-0.86027	0.71845	0.94488	0.38964	0.63305
CTSG	4	-0.48943	-2.239	0.20409	0.65743	0.025153	0.30515
CCDC6	4	-0.032387	-0.19082	0.90265	0.98003	0.84867	0.91426
HOOK2	4	-0.0092886	-0.070257	0.82147	0.96446	0.94399	0.96967
DMRTA1	4	0.050716	0.41069	0.60525	0.91554	0.6813	0.80907
ATG5	4	0.024407	0.23494	0.70145	0.9422	0.81426	0.89449
CYP3A4	4	0.17065	0.98557	0.24311	0.69917	0.32435	0.58265
DNAJC25-GNG10	4	0.14534	0.89385	0.30566	0.75677	0.3714	0.61821
RWDD3	4	-0.053947	-0.8635	0.97688	0.99589	0.38786	0.63159
SUCLA2	4	-0.83184	-2.6875	0.047231	0.34247	0.0071988	0.14836
PKLR	4	-0.17882	-1.668	0.67147	0.93625	0.095314	0.5
MMP24	4	0.056488	0.49802	0.58283	0.90625	0.61847	0.76558
WSB1	4	0.07273	0.50675	0.52963	0.8826	0.61233	0.76084
ZEB1	4	-0.19514	-1.1124	0.63478	0.92643	0.26598	0.54081
MAP1LC3B2	4	0.19113	1.0787	0.20046	0.65327	0.28073	0.55062
ATL1	4	-0.020715	-0.15962	0.86238	0.97215	0.87318	0.92955
SUPT20HL1	4	0.075473	0.38899	0.52033	0.87898	0.69728	0.82009
PFKFB4	4	-0.21301	-1.2352	0.5965	0.91156	0.21676	0.51109
CLIP2	4	0.080094	1.0822	0.50438	0.87327	0.27915	0.5501
WDSUB1	4	0.23827	1.2413	0.11882	0.53853	0.2145	0.51035
RPL7A	4	-1.5541	-2.7309	0.0019887	0.053476	0.0063154	0.13733
SLC7A8	4	0.014785	0.11717	0.73526	0.94774	0.90672	0.94924
PPFIBP1	4	-0.27876	-1.8692	0.47106	0.85646	0.061596	0.45947
POPDC2	4	-0.040302	-0.3312	0.9304	0.98495	0.74049	0.84855
HEPN1	4	0.24543	1.1389	0.10913	0.52064	0.25476	0.53217
NDUFA4	4	-0.83417	-1.7108	0.046535	0.33888	0.087122	0.5
KLRK1	4	0.13167	1.1459	0.34185	0.78154	0.25183	0.53015
MCPH1	4	-0.090724	-0.47513	0.90524	0.98077	0.6347	0.77653
SOST	4	0.06223	0.73256	0.56473	0.90002	0.46383	0.69194
SETDB2	4	0.27163	1.2734	0.07721	0.43927	0.20287	0.50508
PPIB	4	-0.15623	-0.86401	0.72442	0.94574	0.38758	0.63138
R3HCC1	4	-1.285	-2.2234	0.0053694	0.093562	0.026191	0.31181
CD46	4	-0.048839	-0.40028	0.95958	0.99219	0.68895	0.81439
VCX3B	4	-0.63669	-2.0881	0.10933	0.52083	0.036786	0.36757
PSG2	4	-0.19501	-1.7368	0.63508	0.92659	0.082417	0.5
PCDHGA11	4	0.057601	0.9516	0.57955	0.90625	0.3413	0.59546
GPR173	4	0.098029	0.878	0.44462	0.84221	0.37994	0.62528
FAM167B	4	-0.282	-1.7132	0.46604	0.85346	0.086668	0.5
KIAA0907	4	-0.43036	-1.6985	0.26315	0.72171	0.089414	0.5
ITGA4	4	0.012067	0.095305	0.74421	0.94873	0.92407	0.95898
SYMPK	4	-1.2758	-2.9812	0.0054688	0.093857	0.0028712	0.085651
MTRNR2L9	4	-0.25174	-1.2858	0.51904	0.87898	0.1985	0.50359
NRG3	4	0.11705	1.6027	0.38481	0.80692	0.10899	0.5
KRT15	4	-0.25848	-0.81262	0.50547	0.87405	0.41643	0.65353
POLL	4	-0.071324	-1.1134	0.9657	0.9935	0.26552	0.54055
CRABP2	4	-0.41885	-1.2903	0.27682	0.73441	0.19694	0.50354
RBBP4	4	-1.3476	-3.225	0.0043253	0.083174	0.0012598	0.051987
MCMBP	4	-1.8358	-2.906	0.00034802	0.015766	0.0036609	0.097659
RRAGD	4	0.10775	0.87261	0.41429	0.82613	0.38287	0.62733
ZDBF2	4	-0.025415	-0.089959	0.87755	0.97498	0.92832	0.9613
RAD54L2	4	-0.37049	-1.2596	0.33484	0.77682	0.20782	0.50644
OR51B2	4	0.12406	1.5394	0.36398	0.79613	0.1237	0.5
KIAA1211	4	0.19943	1.331	0.18311	0.63108	0.18319	0.50158
TET3	4	0.1172	1.1253	0.38421	0.80685	0.26046	0.53675
PCYT1B	4	0.079482	0.73537	0.50651	0.87481	0.46212	0.69095
GAGE12C	4	-0.43536	-2.0152	0.25753	0.71646	0.043882	0.40029
TAF4B	4	0.39178	1.5007	0.014517	0.17569	0.13343	0.5
LIPA	4	0.082123	0.80378	0.49751	0.86993	0.42153	0.65781
CACNG3	4	0.23702	1.3377	0.12136	0.54438	0.18099	0.50061
RAMP1	4	-0.2676	-2.0623	0.48946	0.86531	0.039175	0.38085
HSD17B1	4	-0.098656	-1.0464	0.88123	0.97615	0.29539	0.5609
HS3ST3B1	4	-0.071376	-0.72782	0.9655	0.9935	0.46672	0.6941
DNAJA4	4	-0.081273	-0.58158	0.93393	0.98516	0.56085	0.74026
DTD1	4	-0.033362	-0.29	0.90628	0.98083	0.77182	0.86922
FOXE1	4	-0.15973	-1.4263	0.71562	0.94393	0.15379	0.5
ADSS	4	-0.58278	-1.3445	0.13791	0.57313	0.17877	0.50061
KDM8	4	-1.0219	-2.2111	0.019936	0.21139	0.02703	0.31779
CCSER1	4	0.00014424	0.00099851	0.78612	0.95699	0.9992	0.99965
CRTAM	4	0.096515	0.53143	0.44929	0.84387	0.59512	0.75205
ZNF273	4	0.25809	0.96983	0.092721	0.47845	0.33213	0.58884
CYP1A1	4	0.011372	0.24565	0.74585	0.94873	0.80595	0.8892
SLC23A3	4	0.15652	1.4449	0.27777	0.73571	0.14848	0.5
BARHL2	4	0.067504	0.27198	0.54872	0.89292	0.78563	0.87774
OR7E24	4	-0.98127	-1.4298	0.024411	0.23789	0.15277	0.5
AACS	4	0.065755	0.33346	0.55389	0.89487	0.73879	0.8475
PIGV	4	0.043434	0.66408	0.63155	0.92628	0.50664	0.72227
NT5C2	4	-0.0076132	-0.068163	0.81585	0.96416	0.94566	0.9706
PRRX2	4	0.22917	1.5937	0.13289	0.56309	0.111	0.5
HIST3H2BB	4	-0.17276	-0.61942	0.68604	0.93891	0.53564	0.73496
CENPV	4	0.0031437	0.027955	0.77528	0.95511	0.9777	0.98856
SP100	4	0.18137	1.3662	0.22054	0.6755	0.17188	0.5
PIK3R5	4	0.18958	0.83612	0.20349	0.65688	0.40309	0.64356
FAM71C	4	0.097087	0.84414	0.4472	0.84254	0.39859	0.64014
MRPS22	4	-1.8748	-3.7485	0.0002983	0.015345	0.00017788	0.015033
MEA1	4	0.1237	1.3288	0.36497	0.79681	0.18391	0.50162
CAMKV	4	0.21838	1.4128	0.15039	0.59171	0.15772	0.5
HPR	4	0.057582	0.70318	0.5796	0.90625	0.48194	0.70571
OR4D2	4	-0.23182	-1.5443	0.55712	0.89583	0.12252	0.5
IGF2R	4	0.50977	1.3458	0.0034802	0.073575	0.17836	0.50061
CDKN2B	4	0.28402	0.87109	0.065974	0.40868	0.3837	0.62787
ALDH7A1	4	0.04957	0.7745	0.60928	0.91701	0.43863	0.67313
CYP3A43	4	0.16925	1.4834	0.24664	0.70377	0.13796	0.5
MEX3A	4	-0.29838	-0.99884	0.43935	0.83978	0.31787	0.57773
PDE2A	4	0.14508	1.2614	0.3065	0.75709	0.20716	0.50644
HCAR2	4	0.34402	1.5543	0.027891	0.25293	0.12012	0.5
ALPL	4	-0.081648	-1.7938	0.93288	0.98516	0.072852	0.49578
SAPCD2	4	-0.17926	-1.5788	0.67083	0.93617	0.11439	0.5
MMS19	4	-1.661	-2.9755	0.0011932	0.03928	0.0029255	0.086027
MMRN1	4	-0.14182	-0.81255	0.76131	0.95227	0.41647	0.65353
GAGE2B	4	-0.48372	-2.1761	0.20871	0.66126	0.02955	0.33382
SUCNR1	4	-0.0014992	-0.026194	0.79199	0.95826	0.9791	0.98925
VSTM2B	4	-0.28794	-1.3716	0.4568	0.84885	0.17019	0.5
NAV1	4	0.20172	1.4369	0.17863	0.62663	0.15075	0.5
GSKIP	4	0.19626	1.1649	0.18932	0.63914	0.24405	0.5271
SH3D21	4	0.070075	0.64145	0.53893	0.88693	0.52123	0.73063
PPTC7	4	0.058452	0.46006	0.57676	0.90546	0.64547	0.78386
GBA2	4	0.2296	1.5874	0.1322	0.56263	0.11242	0.5
DEFB107A	4	-0.29613	-1.9447	0.44307	0.84136	0.05181	0.42885
ZNF804A	4	0.43731	1.4584	0.0078552	0.11862	0.14473	0.5
PELI2	4	0.24513	1.4207	0.10938	0.52083	0.15539	0.5
COPS8	4	-0.74487	-1.6721	0.069206	0.41839	0.094504	0.5
GLO1	4	0.097552	1.0049	0.44566	0.84221	0.31493	0.57534
WWTR1	4	0.034427	0.25572	0.66471	0.93497	0.79817	0.88503
ADAM12	4	0.025787	0.21763	0.69678	0.94167	0.82771	0.90263
RETNLB	4	0.32322	1.3072	0.037486	0.29933	0.19114	0.50206
CUL7	4	-0.016974	-0.19745	0.84971	0.97027	0.84348	0.9114
E2F3	4	-0.3075	-1.9879	0.42324	0.82997	0.046819	0.4111
NUP205	4	-1.5527	-3.1537	0.0019887	0.053476	0.0016121	0.061765
PAX1	4	0.19092	1.0642	0.201	0.65368	0.28724	0.55468
TCEAL5	4	0.065494	0.43739	0.55464	0.89487	0.66183	0.79518
CAPNS2	4	0.017298	0.10891	0.72641	0.94615	0.91328	0.95343
FAM124A	4	-0.075545	-0.58666	0.95327	0.9907	0.55743	0.73902
FGF4	4	0.2105	1.3288	0.16302	0.607	0.1839	0.50162
CCDC132	4	-0.45028	-1.7859	0.24137	0.69764	0.074111	0.5
LRRC37B	4	0.0057829	0.073541	0.76623	0.95317	0.94138	0.96863
KRT19	4	0.050726	0.31362	0.60525	0.91554	0.75381	0.85778
PEX11B	4	-0.022364	-0.12454	0.8686	0.97385	0.90088	0.94542
OR14I1	4	0.1106	1.5312	0.40584	0.82246	0.12572	0.5
IKBKG	4	-0.30708	-1.6301	0.42403	0.83018	0.10308	0.5
ALAD	4	-0.63986	-1.5454	0.10759	0.51608	0.12226	0.5
LRIG1	4	-0.17511	-1.7773	0.68017	0.93741	0.075518	0.5
PSMD3	4	-1.8425	-3.864	0.00034802	0.015766	0.00011154	0.011784
TRPM7	4	-1.3944	-2.59	0.0035299	0.073575	0.009597	0.1764
SELE	4	-0.050542	-0.43766	0.96565	0.9935	0.66163	0.79509
OIP5	4	-0.33967	-1.1466	0.3766	0.8026	0.25154	0.53002
MYO3B	4	0.28088	1.5328	0.068559	0.41624	0.12531	0.5
TRIM56	4	0.22595	1.5835	0.13801	0.57313	0.11331	0.5
RHOG	4	-0.25989	-1.062	0.50268	0.87314	0.28826	0.55494
STRN4	4	-0.66496	-2.4094	0.096898	0.48908	0.01598	0.23819
MNT	4	-0.067488	-0.15617	0.97872	0.99636	0.8759	0.93098
FAM209B	4	0.11558	1.1434	0.38933	0.81018	0.25285	0.53097
UNC45B	4	-0.084564	-1.0197	0.92359	0.98317	0.30786	0.56988
CPN1	4	0.16993	1.225	0.2451	0.70168	0.22056	0.513
ZNF586	4	-0.086176	-0.47112	0.91916	0.98274	0.63756	0.7783
GP1BA	4	0.21209	0.81315	0.16044	0.60465	0.41613	0.65353
TWF1	4	-0.097067	-0.60971	0.88585	0.97681	0.54206	0.73599
SIX2	4	-0.075167	-0.2306	0.95456	0.99092	0.81763	0.89624
FAM171A2	4	-0.23276	-1.7561	0.55514	0.89487	0.079069	0.5
MORC1	4	0.11637	0.87546	0.38719	0.80872	0.38132	0.62651
CRACR2A	4	0.12715	1.3537	0.35463	0.79097	0.17582	0.50024
ROCK1	4	0.035456	0.40225	0.66063	0.93362	0.6875	0.81357
GLIPR1	4	0.10519	1.1742	0.42194	0.82974	0.24032	0.52539
CAMK1D	4	0.28388	1.2781	0.066223	0.4101	0.20122	0.50459
JOSD1	4	-0.14812	-0.94755	0.74505	0.94873	0.34336	0.59681
FLNA	4	0.27985	1.3881	0.069603	0.42017	0.1651	0.5
GBGT1	4	-0.053899	-0.33779	0.97668	0.99584	0.73552	0.84529
C7orf60	4	0.23663	1.2008	0.12186	0.54453	0.22983	0.51756
CPXM1	4	0.023387	0.27892	0.70468	0.9422	0.7803	0.87453
ZFP28	4	0.29459	1.3772	0.058168	0.38538	0.16847	0.5
FAM127A	4	0.29304	1.3802	0.058914	0.38713	0.16752	0.5
USP17L28	4	-0.72323	-1.7332	0.076464	0.43718	0.083059	0.5
ANP32E	4	-0.18203	-1.9437	0.66377	0.93451	0.051932	0.42933
C12orf77	4	0.026171	0.091501	0.69578	0.94165	0.92709	0.96037
TPCN1	4	0.17649	1.4287	0.23073	0.68715	0.15308	0.5
ERAS	4	0.0046535	0.024548	0.77026	0.95354	0.98042	0.98996
SCARF1	4	-0.16858	-0.61272	0.69573	0.94165	0.54006	0.73541
KCTD19	4	0.033172	0.53366	0.66978	0.93617	0.59357	0.75127
S100A12	4	-0.0049098	-0.079827	0.80556	0.96234	0.93637	0.96545
PHLDA2	4	-0.19034	-1.807	0.64577	0.9289	0.070762	0.48844
EEF1E1	4	-0.17132	-0.54228	0.68927	0.93932	0.58762	0.74915
CSH1	4	0.083829	0.46461	0.49075	0.86531	0.64221	0.78145
SPDYE6	4	-2.3734	-4.3324	9.9433e-05	0.0097087	1.4747e-05	0.0046524
SLC4A7	4	-0.60619	-1.278	0.12464	0.54942	0.20125	0.50459
TAAR8	4	-0.076093	-1.7065	0.95123	0.99027	0.087924	0.5
ITLN2	4	0.079095	0.57916	0.50815	0.87575	0.56248	0.74073
TSEN15	4	-0.68818	-2.2003	0.088844	0.46743	0.027786	0.32187
GBP6	4	0.043405	0.30828	0.6317	0.92634	0.75787	0.8608
OR52N2	4	0.1593	1.3245	0.26966	0.72649	0.18533	0.50162
GNB2L1	4	-1.3286	-2.6133	0.0044745	0.083799	0.0089662	0.1677
HIF1AN	4	-0.58196	-1.6821	0.13841	0.57313	0.092548	0.5
ERCC6L	4	-0.18605	-0.63549	0.65497	0.93243	0.52511	0.73173
KRBOX4	4	0.023945	0.46143	0.70245	0.9422	0.64449	0.78342
OR4M2	4	0.10128	0.71562	0.43447	0.83699	0.47422	0.70049
EMX1	4	-0.099431	-1.0147	0.87904	0.97546	0.31026	0.57184
KLF2	4	0.43358	1.3086	0.0083027	0.12279	0.19068	0.50206
HIST1H1A	4	-0.11686	-1.3307	0.82878	0.96635	0.18329	0.50159
FAM136A	4	-0.38897	-1.7075	0.31222	0.76195	0.087727	0.5
UGT2A2	4	0.24137	1.3978	0.11509	0.53292	0.16217	0.5
OR51V1	4	0.195	0.94407	0.1925	0.64501	0.34513	0.59788
WDR27	4	0.29976	1.4018	0.05444	0.37539	0.16098	0.5
SNRPD2	4	-2.2917	-3.9109	9.9433e-05	0.0097087	9.196e-05	0.01088
SERPINA12	4	0.028235	0.6027	0.68818	0.93928	0.54671	0.73651
AMZ1	4	-0.3306	-1.6163	0.38938	0.81018	0.10604	0.5
PPL	4	-0.10933	-1.2518	0.85045	0.97033	0.21065	0.50798
PRPS1	4	0.29065	1.5802	0.060853	0.39328	0.11406	0.5
WDR17	4	0.18375	1.5689	0.21522	0.66898	0.11666	0.5
COL12A1	4	0.20712	1.2591	0.16973	0.61736	0.20801	0.50652
CD22	4	-0.36972	-1.8397	0.33608	0.77715	0.065818	0.47399
NIPSNAP3B	4	-0.12769	-0.67072	0.79895	0.95958	0.5024	0.71951
SAG	4	0.40595	1.4731	0.012131	0.15691	0.14072	0.5
EID3	4	0.12531	0.73686	0.3597	0.79216	0.46121	0.69032
CCDC77	4	-0.55897	-2.0522	0.15253	0.59434	0.040155	0.385
NPC1L1	4	-0.00092975	-0.010688	0.7899	0.95718	0.99147	0.99613
VPS29	4	-0.83293	-2.4113	0.046833	0.34056	0.015898	0.23775
KPNA3	4	0.1189	0.75307	0.37899	0.80473	0.45141	0.68314
NR6A1	4	0.0078899	0.040116	0.75833	0.95153	0.968	0.9832
ALDH1L2	4	-0.17151	-0.77684	0.68882	0.93932	0.43726	0.67193
TRIM64	4	-0.30727	-1.2331	0.42373	0.83018	0.21753	0.51114
TRIM8	4	-0.18761	-1.0362	0.65223	0.93135	0.30012	0.56433
CRELD1	4	0.35995	1.3154	0.021527	0.21957	0.18837	0.50162
ZYG11B	4	0.01481	0.098584	0.73511	0.94774	0.92147	0.95775
NDUFC2	4	-0.84953	-1.5678	0.043403	0.32466	0.11693	0.5
C5orf34	4	0.26183	1.1152	0.088496	0.46698	0.26475	0.54007
KANK1	4	0.21417	1.307	0.15725	0.59951	0.19121	0.50206
KRT16	4	-0.029223	-0.25044	0.89192	0.97849	0.80225	0.88657
E2F8	4	-0.17798	-1.0497	0.67331	0.93639	0.29385	0.5603
MRPL49	4	-1.3903	-2.6441	0.0036293	0.073926	0.008192	0.16006
APOA1BP	4	-0.39136	-1.9924	0.30929	0.75921	0.046329	0.40943
TCHP	4	0.13497	1.5274	0.33295	0.77664	0.12666	0.5
CRIP2	4	-0.1654	-1.4522	0.70269	0.9422	0.14645	0.5
KCNJ3	4	0.60007	1.0709	0.0014915	0.046083	0.28421	0.5528
ZBTB41	4	0.10161	1.224	0.43358	0.83658	0.22095	0.51319
CDHR4	4	-0.098856	-0.57241	0.88058	0.97576	0.56704	0.74117
EID1	4	-0.012209	-0.12637	0.83176	0.96751	0.89944	0.94462
ZNF433	4	-0.052425	-1.5583	0.97246	0.99481	0.11915	0.5
TMEM45A	4	0.038002	0.2507	0.65094	0.93083	0.80205	0.88647
HYAL4	4	0.27491	1.3186	0.073779	0.43102	0.1873	0.50162
TMEM91	4	-0.37706	-2.0786	0.32664	0.77115	0.037653	0.37253
FAM102B	4	0.2388	1.4249	0.11783	0.53627	0.1542	0.5
PPP1R12C	4	-0.30582	-1.852	0.42592	0.83022	0.064031	0.46802
GIMAP7	4	0.32016	1.4105	0.039425	0.3076	0.15839	0.5
NUPL2	4	0.13741	0.85542	0.32579	0.77049	0.39232	0.63536
TRIP6	4	-0.017242	-0.14794	0.8503	0.97027	0.88239	0.93472
SEC22B	4	-1.3372	-2.2339	0.0044745	0.083799	0.02549	0.30774
ACTRT2	4	0.15656	0.89955	0.27777	0.73571	0.36836	0.61589
SAMD9	4	0.077123	0.6764	0.51417	0.87681	0.49879	0.71755
BTNL10	4	0.17432	1.1607	0.23526	0.69151	0.24575	0.52739
YEATS2	4	-0.90764	-2.046	0.032962	0.27683	0.04076	0.38685
ASPHD2	4	0.11298	1.1201	0.39758	0.81628	0.26265	0.53833
CACNA2D3	4	0.24252	1.2801	0.11316	0.52805	0.20051	0.50427
BAHD1	4	0.31179	1.2224	0.044894	0.33053	0.22157	0.51342
CCL27	4	0.01115	0.10856	0.74625	0.94892	0.91355	0.95348
KIAA0368	4	-0.044597	-0.62171	0.94501	0.98779	0.53414	0.73477
VPS36	4	-0.54217	-1.6757	0.16382	0.60838	0.093793	0.5
SAT1	4	0.22417	1.5535	0.1402	0.57539	0.1203	0.5
WDR37	4	0.20478	1.4164	0.17391	0.62077	0.15666	0.5
DEPTOR	4	0.20804	1.2988	0.16814	0.61565	0.194	0.50295
C9orf16	4	-0.11713	-0.71555	0.82808	0.96635	0.47427	0.7005
RC3H1	4	0.058037	0.45915	0.5781	0.90582	0.64613	0.78435
RPSA	4	-1.707	-2.83	0.00084518	0.030797	0.0046555	0.11268
KLHDC8B	4	-0.066314	-0.92767	0.98235	0.99758	0.35358	0.60368
PPP1R26	4	0.042933	0.5191	0.63349	0.92634	0.60369	0.75596
PARD6B	4	-0.70178	-1.4397	0.083176	0.45395	0.14994	0.5
GLIS3	4	0.21952	1.4054	0.14825	0.58747	0.15992	0.5
PRKRIR	4	-0.98347	-2.3405	0.024212	0.23664	0.019256	0.26474
ARVCF	4	0.1175	0.72144	0.38341	0.80654	0.47064	0.69742
YAP1	4	-0.7179	-1.5151	0.078254	0.44044	0.12975	0.5
MOV10L1	4	0.17872	1.4447	0.22616	0.68179	0.14855	0.5
ZNF335	4	-0.729	-2.2575	0.074326	0.43244	0.023974	0.29711
NAA11	4	-0.059754	-0.44662	0.99692	0.99905	0.65515	0.79106
PLD1	4	-0.27297	-1.2777	0.48021	0.86133	0.20137	0.50459
NWD1	4	0.1197	1.2694	0.3764	0.8026	0.20429	0.50569
ZNF74	4	-0.0053776	-0.04612	0.80755	0.96248	0.96321	0.98007
NUP54	4	-0.36963	-1.5316	0.33618	0.77715	0.12561	0.5
PDZD9	4	0.35091	0.9363	0.025206	0.2412	0.34912	0.60044
ENO1	4	-2.5699	-4.3602	9.9433e-05	0.0097087	1.2994e-05	0.0045852
RNASE12	4	0.26048	1.4261	0.089738	0.46883	0.15385	0.5
PNPLA1	4	-0.17772	-0.89967	0.67401	0.93655	0.36829	0.61588
HIST1H2AL	4	0.22037	1.1368	0.14627	0.58373	0.25561	0.53256
MPND	4	-0.22423	-1.5066	0.57279	0.90404	0.13192	0.5
