sgRNA	Gene	Cont1.initial	Cont1.final
8316077	ARHGEF15	1572	1641
56088584	ZNF787	1901	2750
13614120	FBLN2	1156	1445
39451951	SH3BGR	718	725
45983193	MAPT	1438	1582
26206435	CBX3	969	1179
6419640	HES2	2181	2125
204190739	KISS1	423	429
109738125	GSTM3	2243	2559
43574952	SGK2	1743	1650
47833014	FBXO11	1940	2282
31528566	AHSP	2184	2548
54054198	HOXC4	2150	2161
916444	RAD52	916	798
20051491	ZMYM2	529	557
172447810	GHSR	1351	1558
29672073	SSH2	1367	802
15625626	KIAA0430	1536	1585
83065647	UBE3D	1068	774
45179370	BLOC1S3	798	675
108663575	FOXO3	741	707
17884676	TOM1L2	1544	1954
35500098	CEP250	1384	1337
NA	Non-Targeting_Control-N121	1893	2027
2432952	CHST12	468	381
87961027	PTEN	1979	1528
230710154	AGT	658	634
41800275	ULK4	972	735
41834832	JMJD7	1074	1018
73673128	STAU2	1411	785
125124982	AACS	953	419
110468955	FAM216A	381	275
27294616	WDTC1	1121	861
73914799	ACTG2	1403	1852
26994881	FIBIN	694	751
178515899	TEX35	662	678
76875496	S100Z	1175	981
725451	CCDC78	1481	787
55637089	OR10P1	1546	1207
23377322	CMTM5	1002	891
101624239	MYL10	731	728
6481823	TIMM10B	1000	1159
38566648	DMC1	2856	3169
26031814	HIST1H3B	445	366
31576809	TNF	1120	790
3384585	ZSCAN32	1190	1185
149461836	ZC3H12D	923	804
66591962	CCDC87	1530	1406
4924047	OR51G1	1142	1169
138087827	WNT8A	1683	1803
42422959	PTRF	1092	1014
55925003	NLRP13	860	940
44786472	PRR5-ARHGAP8	639	841
201062032	CACNA1S	905	776
159262631	IQCJ	2085	1897
38866945	MYCBP	1635	1709
28404951	SLC46A1	827	761
143719751	TCAF2	2220	2092
67961688	SLC12A4	1775	1652
62578514	TLK2	3024	1266
17515439	CLRN2	1587	1556
8129327	CLEC4A	585	725
46581944	SYT15	541	324
46699373	LRCH1	2901	2512
55450270	DYX1C1	1660	1875
28699909	CHEK2	667	554
82164083	MPHOSPH6	1499	582
52303281	KRT86	1754	2002
60153079	DHRS7	1567	1693
63918354	GH1	1719	785
26576171	C2orf70	469	575
86166619	IMMT	788	925
63910772	CSHL1	739	594
113062513	IL36RN	744	764
132151270	NOC4L	1926	718
33296223	RGL2	1575	1504
16748479	OTOR	2798	2675
144007303	GTDC1	809	803
39944143	LRRC3C	1584	2007
92848091	ZNF484	1436	921
39420829	LCA5L	1854	1560
152623013	LCE3A	842	993
141178482	PCDHB8	1136	1289
141214571	PCDHB13	757	912
35373917	ZNF396	826	898
31631224	PRRC2A	2918	1636
163441160	CCNG1	492	535
3025971	THOC6	1581	910
94432454	FSBP	972	870
99416179	BUD31	2636	545
31955064	NELFE	905	635
6621184	ZNF853	817	956
168043472	GOLIM4	1238	1777
35906429	HRCT1	1124	1553
119024300	FAM184A	2463	3379
86262857	AGBL1	1081	1154
116091119	COMMD10	1874	2052
223394496	CCDC185	1996	2030
4849012	OR51S1	1820	2347
21250294	ANKS4B	1351	1606
907679	ADCYAP1	400	373
68717655	STARD8	1043	1383
29792489	LOC554223	787	859
142874904	TRPV6	883	1068
52757891	SSX2B	1225	1614
25557234	LDLRAP1	1160	1314
104013576	H2BFWT	816	958
45194183	KCTD4	828	782
54360652	C18orf54	1093	972
102968602	CDC42BPB	1020	1300
8624857	TRIM66	644	416
64980969	SPG21	1034	1345
53894473	DIO1	992	1277
6002357	NRN1	2002	2153
30712630	MDC1	961	989
26597302	NOVA1	314	217
135761902	UBXN4	769	647
3462566	SPATA22	880	925
140822869	PCDHA5	1227	1392
76035309	CXCL11	1012	755
50006572	RACGAP1	2201	930
72221243	FOLR2	1183	1288
68070996	DUS2	1492	939
29828245	HLA-G	584	934
48440587	TMA7	779	280
43800550	BLVRA	451	770
6362472	CLPP	1055	714
50423669	SPIB	400	291
61840499	FAM161A	2530	2389
103357791	WBP5	943	630
71041428	FOXP1	572	657
28208347	DNAJC8	595	403
200881464	PPIL3	1313	1036
46054055	PRR34	699	492
49119793	GPKOW	538	261
218644184	ZNF142	674	737
19006084	ADGRG2	1156	1411
103253813	TCEAL8	1434	1630
1056637	DMRT2	1133	1459
70979740	ANKRD53	681	619
153626430	S100A13	603	510
30763514	RNF40	1859	863
18175375	IFI30	1281	1168
101616479	ARMCX6	932	845
58228763	OR10Q1	1491	1998
198153339	FAM157A	1615	355
15728244	OR10H2	2139	2547
212333573	PPP2R5A	874	832
105138980	CARD18	1023	1064
150274135	C1orf54	2741	2828
129918674	PRDM10	716	307
135764337	CT45A3	420	241
57444586	ZNF749	2033	2516
118747017	IL13RA1	924	986
745993	GEMIN4	1217	1901
195725070	MUC20	1969	1845
137015731	CHRM2	699	732
62796625	MRGBP	613	620
84865728	LPAR3	2765	2905
34095344	SLC5A3	667	629
50293501	ADCY7	942	1136
20847675	NELL1	1247	1372
14580923	DGKB	1918	2781
95482309	TRIM43B	1017	1156
120967616	ING3	445	472
56468743	RTFDC1	795	223
74085843	C2CD3	454	563
21685322	OTOA	755	931
100107824	SASS6	712	280
7801739	UMAD1	1054	1011
69643149	CCND1	1424	1201
38323953	BPI	856	980
28535992	RCC1	1411	1299
55819144	SEPT14	1807	2233
31728518	DDAH2	767	768
101526191	BTRC	1200	1268
3621288	SHPK	1082	1458
65619819	PCNXL3	1172	967
101040261	TBC1D8	1460	1698
65340430	DPF2	812	693
24213438	CHMP4A	609	715
41243677	CHP1	1191	1297
155173241	KRTCAP2	1551	1223
153295928	TRIM2	1240	1115
134552080	TMEM163	690	711
118988361	DTWD2	976	795
21635093	CCDC116	343	375
13617938	EGFL6	564	856
32207289	IQCC	780	790
120951100	CT47A8	644	172
84176500	C10orf99	306	351
2920778	TULP3	850	868
16086533	TPM4	1499	2172
29779295	ZG16	828	1060
695800	TMEM80	569	678
112538288	VTI1A	807	717
32199527	RHOT1	707	585
55221090	OR10A7	742	956
113006665	IL36A	514	450
49164271	B4GALNT2	1160	1257
43255569	TTBK1	546	412
142088528	NMBR	1117	964
43750613	SMG9	1174	1292
101002806	RPL31	1191	96
183445661	CDKN2AIP	2178	2240
NA	Non-Targeting_Control-N122	1662	2412
36045734	LOC101927572	1775	1282
75451779	TMEM170A	2156	2571
226064431	H3F3A	817	737
109449989	MICAL1	649	473
89611331	ATP2B1	1736	1413
100629846	ASB7	476	518
82255530	CSNK1D	861	614
49420215	AMT	1714	2021
57013363	TAC3	771	589
72846913	DMRTC1B	909	886
11655958	FBXO44	773	835
130384957	GPR119	1196	1262
116760542	CD2	1501	1960
75401109	ZNF503	1501	1065
7317257	ACSM4	1256	1306
38612631	MAP4K1	2022	2311
22927608	PEBP4	224	406
109415315	PSMA5	1167	96
42641603	UBR2	982	1077
15442190	C1QTNF7	482	630
35826017	FAM221B	1502	1729
109401251	MYO1H	999	987
63898781	MARK2	1859	1835
75624660	FLVCR2	1545	1401
23096326	GNAZ	1631	1935
200439208	SPATS2L	452	593
211354463	TRAF5	599	593
7462751	SPAG11B	1842	2080
54809894	MAGED2	1085	1193
3659600	ART1	703	606
57243529	TCF12	1427	1404
28924478	RABEP2	2523	2974
184572526	EPHB3	860	1119
33465365	TMEM50B	1303	969
67824862	SKOR1	1662	1986
6333387	TNFRSF1A	744	1022
154533089	G6PD	2728	1915
35750304	GAS2L2	1136	850
43695815	CKMT1A	1033	779
125498089	SNX4	1681	1502
67520502	SUCLG2	178	190
33055135	KL	513	311
178718214	TTN	639	626
119335593	RNF26	2954	3203
42783367	HAAO	578	614
763374	TALDO1	665	547
92448767	GATAD1	987	674
6743509	TRIP10	752	784
8938029	ASCL3	816	823
11982353	DEFB135	633	547
118566276	CEP85L	1566	1227
131934476	PPP2R2D	666	724
179561327	NPHS2	641	396
9949344	PRRT3	2127	1788
5578424	GPCPD1	3107	2793
33613543	CRYZL1	2597	2644
169598509	SPDL1	946	397
44901796	YWHAB	1032	1123
27524719	IFNK	774	679
82428379	HNRNPDL	1743	1746
33026854	NT5C3A	1119	1004
64213634	MYT1	839	1038
225988206	SDE2	941	456
77632239	ZZZ3	1973	1998
66541836	GRIP1	714	621
57537642	ZNF549	1372	1676
38314640	ATL2	654	380
148967741	PDE4DIP	1041	530
74287041	DNAI2	819	634
90007482	ZNF326	536	482
60155329	CA4	807	964
44234843	ZNF227	993	1018
99486554	ZNF789	814	630
160020207	PLA2R1	2448	2033
122341589	CLIP1	2566	2657
40331308	RARA	1545	1409
64212740	TEX2	1368	1840
46689256	TDRD6	1152	1385
37074687	TMPRSS6	693	997
156550647	GPD2	1021	1269
64088709	FAM96A	2641	2368
62816614	ATG4C	2188	1856
228107759	MRPL55	1623	500
11374894	SWSAP1	976	765
1854151	MEIOB	2516	1851
124691751	SPA17	792	1003
68476311	TMPRSS11E	802	987
2965023	PTPRA	970	997
11766724	C1orf167	2152	2936
93821113	VSTM5	855	995
106986126	GUCY1A2	2751	3673
74906306	FAM219B	1544	1982
10622749	RP1L1	336	458
193467404	ATP13A4	931	722
10514395	S1PR5	948	1135
271549	RGS11	1336	1205
75876478	TRIM47	2121	2112
29806282	ASCC2	1127	823
98555602	INPP4A	2296	2645
127738837	MYC	1120	617
119300658	C4orf3	517	381
66990482	SPATA31A3	402	287
43416433	TEX101	2159	2586
79926335	ELOVL4	2503	2125
138092463	DZIP1L	1391	1442
74863620	PROX2	635	926
108518275	EXPH5	838	966
43263004	TTBK1	936	861
130275222	CPA2	1147	1297
108514439	EXPH5	1622	1828
73031559	SLC39A11	2645	2786
241872193	EXO1	605	375
26316434	ADGRF3	1916	1919
169870318	SCYL3	503	401
32024578	C4B	351	243
93923080	PDP1	834	1121
2987157	TLE6	651	810
48593128	COL7A1	902	742
144207454	KCTD16	1456	1658
76502946	GCNT1	1633	1539
32786947	YARS	881	205
96093311	MAML2	902	877
24800383	RNF17	807	645
200815471	BZW1	546	567
131236753	POTEE	1061	1067
86978688	VGLL3	1795	2039
65027009	MTFMT	614	638
101401067	ARL1	1711	1830
91102840	LRRC69	423	455
35196030	NBEA	3442	3754
53255840	IQSEC2	1154	1120
41938121	ULK4	551	682
39408141	ZFP36	1286	1339
27493988	FNDC4	1864	1982
3437319	ZNF597	1121	1502
6375732	PSPN	859	1129
43574505	THADA	2676	2193
133324408	GPC4	1558	1779
32932138	QSER1	1815	1851
143870754	EPPK1	596	440
141394324	PCDHGA8	1874	1655
93741176	POU5F2	949	1167
18386368	GDF15	2052	2232
21406822	NPIPB3	1853	968
72859343	MCU	865	569
22996213	C14orf93	1040	1130
1056333	DMRT2	779	592
62376765	ZNF365	1730	1756
247491415	OR2W5	552	600
101774830	FGF8	565	508
62274026	KANK4	678	711
31257693	DEFB115	2036	2004
86565319	CLCA4	2452	2626
92164894	LRRD1	1683	2059
181050238	BTNL9	1636	1546
109669538	GSTM2	1241	1358
74693700	HEXB	816	1011
30960905	MTMR10	1486	979
48434852	CCDC51	646	611
26957691	STIM2	2253	2161
1885682	ARHGEF10	1781	1769
142397363	XRN1	1603	951
80798211	SEMA3C	3019	2982
160882183	ITLN1	1884	1951
5260718	LYRM4	1241	1281
110327951	ATP2A2	982	188
47078009	AMIGO2	1365	1016
49128661	LAMB2	1023	1030
77731426	CNOT6L	3394	2818
72816743	ATG16L2	1994	2232
111658831	BRAP	656	380
32593153	ZBTB8A	1920	1616
119418085	NOV	3420	2973
233672784	UGT1A9	1039	1147
233682787	UGT1A7	501	771
62393633	EFCAB3	1291	1132
98283034	OR5H2	2368	1920
19673622	SLC24A3	1183	1047
99330564	CNNM1	1298	1331
119852802	UPF3B	1608	973
186839123	ZSWIM2	654	500
48707097	CYSLTR2	1782	1682
181915901	SSFA2	1446	1581
10052387	FANCD2	957	870
125966926	HINT3	605	764
96240724	BDKRB2	2743	3162
127069306	RALGPS1	505	394
98780011	RGMB	2353	2999
16271716	OXNAD1	2446	2444
101648093	MYBPC1	3228	2875
119161067	SFXN4	1146	1195
48646708	GTF2A1L	877	678
76618224	POMZP3	1134	898
19725758	TMEM196	1223	1487
12862287	TEAD1	399	196
224371298	CNIH4	1803	1838
92126080	SLCO3A1	335	320
119470116	SLC25A5	300	299
123369097	ATAD2	695	531
887408	BRD9	786	644
114530227	NXPE1	528	501
52360085	CC2D1B	592	439
8731615	OR2Z1	2133	2199
5044760	KCNA5	2386	2195
136349483	ADGRG4	558	569
23027251	TNFRSF10B	3103	2729
129607933	ARHGAP18	2297	1918
49861199	CAMKV	468	574
111478473	CAMK4	738	790
228458234	HIST3H2BB	1018	333
11978727	ZNF18	1509	1388
10288482	CMBL	2291	2771
52405939	KRT82	2069	1919
147831541	SPINK1	2086	2714
70859449	SGPL1	666	740
27893567	HIST1H2BO	2485	1807
114404642	KCNN2	712	702
68337965	HNRNPH3	2607	2280
207976826	PLEKHM3	1276	1362
36314841	MBIP	1246	617
169708595	SELL	1190	1282
60919877	TMEM109	847	668
44010416	ZNF230	546	335
62231265	KIAA1468	1288	981
197976085	LMLN	1440	1437
75227809	SLC44A5	1282	907
107497449	ANGPT1	2873	2679
131582649	ARG1	773	692
31426316	DNAJC24	1461	912
11806328	ZNF491	2501	2722
70985793	NAIP	2678	1330
141574012	RASA2	1360	1693
33224413	BPIFA3	2180	2227
98283108	OR5H2	1125	1051
59139987	SEC11C	1592	1650
120956075	CT47A7	388	329
158721439	PPID	2066	2362
35063046	CUL2	1770	1433
34936820	GSS	666	840
9342202	ZNF559	1167	1216
46368210	KIAA0226L	1777	1470
27213192	ATRAID	1247	1616
70929719	SLC7A3	2586	2721
99731138	CYP3A7	927	910
30541727	KRTAP19-6	740	717
99676194	CYP3A5	523	651
24588632	KIAA0319	619	545
108749449	ETNPPL	655	529
54256025	TSPYL6	1618	1696
161775883	FSTL5	863	843
39210123	BRWD1	2084	2578
47685999	AGBL2	1432	1173
25227235	KRAS	1434	318
59743130	PHACTR3	650	548
33025866	DEPDC7	1745	2118
43068575	CBS	731	791
143264094	GSTK1	1191	938
12095606	ANKRD62	1033	992
100262331	YY1	1552	385
49075333	CSE1L	1589	389
3072112	OXT	1956	2012
160634711	SLAMF1	1178	1229
94317878	HPGDS	973	923
36210682	ARAP2	437	562
81115077	HMGN5	1489	1616
49625347	DTWD1	1888	2173
17311218	NUCB2	2420	3514
105124566	BVES	2151	2574
177994275	PROP1	2082	2814
128947758	IRF5	1798	1919
200900997	C1orf106	817	637
101702244	TARSL2	1478	1523
60282948	PPM1A	1001	1340
54811036	MAGED2	1598	1929
124767710	MSANTD2	663	789
35548860	ERGIC3	1126	1006
7630841	PET100	1265	1040
18013674	LOC339862	1101	1239
149400578	SUMO4	1041	878
144184785	CTAGE4	1158	1046
1671550	SLC35E2B	867	759
22055496	CMAS	2540	2482
219193097	LYPLAL1	1803	2003
3321283	MXRA5	1008	1079
20159584	MACC1	2214	2923
73569421	ACOT2	1307	1491
36289528	THRAP3	1971	896
30722938	TUBB	824	171
3155716	TUBB2A	774	981
12273090	VPS13D	853	466
29636315	PRKD1	1233	1371
33395135	AQP7	1866	1663
105506435	FSD1L	608	832
170087170	AADAT	760	907
74851390	SCAMP2	1727	2447
74366834	DCTN1	2524	539
137552259	MRPL41	1141	368
45340742	TPT1	758	290
26361015	SNX10	1574	2273
62782766	TAF6L	1517	988
38871213	RINL	1107	1130
49717700	FAM117A	1174	1295
74704656	CD300LF	1069	1314
85977686	ARHGAP24	2368	2613
15472657	PSIP1	1091	1502
27173569	HOXA10	1005	1011
125313481	ZNF148	528	484
90791961	NECAB1	1383	1796
61457205	PRKCH	2179	2272
34343025	NOP10	2201	428
136422433	STAG1	2568	1642
122922453	NUDT6	540	592
44997160	EXOSC7	2269	1132
137585265	DGKI	1273	1652
32695737	SYNC	1034	1288
93821169	VSTM5	2337	2607
2595898	CACNA1C	1530	1560
7745747	CD209	690	420
160211615	PEA15	1918	2162
159748537	MARCH7	2990	3462
50092163	RBM5	2001	1687
341978	CHL1	1348	1613
18121668	TUBA8	726	791
122261302	VPS33A	3079	1413
77615185	LINGO1	1203	829
10014684	CLEC12B	2288	2190
84687756	SEC11A	1200	1147
656710	HUS1B	686	694
32113850	RNF138	1414	1187
27207391	SLC5A6	888	650
40928523	KRT23	1929	2242
21540729	RBMY1A1	2526	3331
100498073	SEC31B	617	621
151181334	ASB10	1961	2222
66230936	PACS1	415	493
464208	ODF3L2	878	715
47063354	KATNAL2	651	979
9372375	PLCB4	1718	2323
916766	RAD52	1650	1066
89971766	CENPBD1	1058	398
45417754	RIBC2	878	930
105138938	CARD18	1714	1839
77559821	SCEL	1854	2201
40637103	CXorf38	1071	888
15418615	AGMO	1677	1913
57232676	AURKC	1292	1100
9182066	PZP	2031	2564
84977965	ZDHHC7	1606	991
150793251	TMEM176B	1465	1652
61799248	BRIP1	1605	1644
194360064	LRRC15	2827	2456
230237227	SP140	591	516
110604383	KCNA2	1471	1797
73686868	WBSCR22	1654	1072
36438076	CCNA1	1301	1277
63229368	SLC22A25	1109	907
23430636	MYH7	1421	1048
149521108	PPIL4	1305	635
27780199	ESCO2	1073	479
73955872	COQ6	1845	1542
163545714	MARCH1	734	757
4882334	OR51T1	1372	1481
18919730	PRODH	903	471
71223776	GJB1	957	958
999557	HES4	941	849
62788506	MARCH10	1246	1198
39521890	ATF4	766	758
30009009	DOC2A	3093	3435
85912677	CCDC83	2305	1924
118661962	TREH	792	579
95686559	TCL1B	597	252
174682886	GLRA3	644	737
98259396	LOXL4	901	887
84196673	PRKACB	842	828
132668884	POLE	1359	287
38062304	DLEC1	1678	486
178450387	PRKRA	2675	1678
1975199	TBL3	1665	397
218661467	BCS1L	735	807
77440970	WDR41	680	555
53229779	OPRK1	1485	1717
14566896	NDUFB7	1984	684
50193307	GNAT1	1066	941
765566	SLC52A3	792	908
57547736	ZNF550	3207	3551
65053634	GNA13	2036	1864
58988950	NELFCD	773	210
96879951	ERAP2	586	903
90086688	UBTFL1	869	1199
194433880	ATP13A3	1947	2106
107610198	BTBD11	1444	1288
67658791	ACD	2969	2321
41715543	GAST	663	671
95894614	UGGT2	2129	2006
100313534	SCYL2	3028	2950
100928011	XKRX	1414	1206
46305697	GABRA2	1123	1272
183079058	DUSP19	1063	1236
158466112	OR10K1	1892	2836
3254221	MEFV	296	354
25244019	ZKSCAN2	2701	2892
181224662	TRIM41	552	639
45872333	FOXA3	525	517
154478332	LAGE3	658	111
141697672	SPANXD	1017	1180
57389165	PRG2	1013	1081
130172155	RAB33A	2108	2434
9811703	FBXL12	1444	1222
13913291	CC2D1A	589	628
23441287	GOLGA6L2	1134	1350
128311323	FBN2	784	957
108087801	PSMD10	952	814
29587153	RBMS3	2308	2591
115543187	FEM1C	1173	1285
29738397	ZMAT5	693	550
48074822	PLA2G4C	469	515
14030746	RLN3	1968	2214
102110677	LDB1	653	463
86217817	SLC7A13	2033	1682
3127404	BPHL	2457	3238
112484878	LSMEM1	1220	1221
218346896	TGFB2	340	452
66262061	SLC25A26	1299	573
241098748	RGS7	2927	4109
51950754	GNG2	970	1121
76351762	PRKRIR	1340	666
27132647	HIST1H2BJ	1510	378
17725041	BANF2	686	999
2910686	ARSD	1260	1311
12350366	ZNF442	877	1480
32305935	BICD1	2116	1971
95994137	HAL	826	947
149886537	HIST2H2BE	1239	526
76082348	ART3	834	750
153484620	C3orf79	1774	1505
75176500	TMED10	2014	1937
122085618	TACC2	2852	2206
46608251	CALM3	1127	1082
156299070	VHLL	1199	1411
42301805	AKAP11	398	427
91007032	VPS33B	656	447
33417751	SNTA1	1992	1651
67662145	PARD6A	772	701
29045093	OR2W1	1139	1412
23767479	CHCHD10	2076	1963
172487380	ITGA6	922	1327
3433453	OR1E2	1564	1487
95861289	SNRPF	1407	223
101594597	PPP3R2	1509	1478
75400773	RPS3	3024	592
68186608	PPP3R1	1936	2645
59076138	RNF111	473	611
124854275	WDR38	122	64
5237059	ADAMTS16	972	1135
201313498	PKP1	2134	2486
49532543	ERCC6-PGBD3	1025	1348
101558682	GRHL2	707	437
148174299	SPINK14	1358	1471
6220766	PFKFB3	459	632
112043493	DLAT	3287	2542
100752772	ZAN	919	993
42612139	TUBG1	1311	412
2441545	METTL16	1181	889
54320606	TINAG	3129	3227
NA	Non-Targeting_Control-N123	1480	1546
49691297	PAGE1	2096	2683
20034499	OR4K13	544	530
139373283	COPB2	841	260
9744481	CLSTN1	1524	1425
5132248	OR52A5	689	855
121849004	HPD	920	1084
123943579	OR6T1	692	592
165213723	LMX1A	1336	1980
20479910	E2F3	650	795
91153176	DCN	900	729
123074829	CLMP	2018	1542
43777551	VEGFA	2862	2364
141409149	PCDHGB6	2576	3300
36695192	SERTM1	742	883
8901197	USP7	1401	158
100212321	ACTR6	836	1031
8945561	M6PR	903	709
47291845	ZMYND8	1487	989
122477730	OR1J1	1419	1732
42961338	PTGES3L-AARSD1	1236	1216
150846277	ARNT	821	420
41113357	SCMH1	1048	806
150946912	SETDB1	2260	1414
23493435	GGA2	813	591
52288138	KRT81	2218	2123
77066273	CCNI	2698	2315
123370141	CRB2	936	918
97430483	PGAM1	2719	2414
52317013	KRT83	2130	2111
36394576	CHAF1B	1355	381
33667720	ACTL10	1549	1372
19347833	B9D1	1732	1326
110012941	AHCYL1	1672	1320
31933815	TTLL9	2091	1941
87728654	CTSL	905	998
49031918	TRIM49B	1464	1662
98593190	CPOX	2659	1446
50286257	PLXNB2	2025	2485
45253619	SLPI	1138	983
185323691	SNX25	1090	1021
113779892	CLDN25	819	1144
113006599	IL36A	625	315
99507463	USP45	788	1148
73713408	PNMA1	2012	1706
121801900	EXOSC9	2300	272
104753031	NIPSNAP3A	1778	1384
5509383	UBQLN3	2819	2149
92416876	OMD	887	816
101837005	OLFM3	677	451
7227893	SFMBT2	1909	2470
22534969	NPIPB5	754	552
72406617	TMEM202	1826	1709
19827709	OR4N2	2836	3287
96795108	ERAP1	2931	2769
121292097	TBC1D32	1720	1531
95822473	GLRX	3796	3709
43905833	FRMD5	1912	1555
150372193	REPIN1	792	1022
75732385	TTLL5	1492	950
112494181	TTL	422	512
76256485	FAM47E	1217	1438
NA	Non-Targeting_Control-N124	2471	3054
43712720	MAOA	531	797
58909370	GNAS	1888	1800
99729648	LYSMD4	1387	1189
53218309	KDM5C	751	570
739670	NARFL	1610	259
41387456	TEF	951	1254
115838330	NHLH2	1130	1607
93672581	NAP1L3	1374	1054
123348247	ATAD2	1293	1227
32358423	RFPL3	1505	1126
21445420	PYROXD1	896	812
35127332	FNDC8	1598	1191
32559238	AVL9	1554	1275
21187407	IFNA4	624	793
13122440	OPTN	1639	1793
35644379	SPEF2	1570	1404
94537001	KIAA0825	2325	2884
84839252	TRABD2A	636	603
125307473	GAPVD1	1374	1317
134174601	LRGUK	1448	1312
29631484	GABBR1	717	926
49007360	RUVBL2	1427	318
186613343	AHSG	928	966
7056526	DEFA5	1882	2929
35689322	ARPP21	705	1194
91055805	KERA	1460	1816
49259445	CDADC1	1100	927
5231544	INSL4	380	473
154095007	NUP210L	3510	3069
5335455	RLN1	1694	1789
48484099	SLC10A4	671	953
8798250	MTCL1	1816	2005
76660384	LRRC32	2200	1790
46010999	NCOA4	1508	736
26364844	EPT1	754	880
43905932	FRMD5	1041	995
36012349	SLC26A8	1013	825
75195636	ANKRD31	819	900
35553234	SLFN14	928	644
73989243	STOML1	610	628
1771322	NME3	602	453
113354261	BSPRY	2760	3343
75568082	GABARAPL2	2610	2839
184728918	CENPU	1086	672
4861360	PAPOLB	2062	2474
28681303	BAMBI	1427	1502
69857509	SULT1E1	614	474
63156497	RPS27L	693	471
132028071	EP400	2175	1656
3338091	TSSC1	1601	787
128692959	SET	976	1116
71510457	BDP1	1423	1318
119052815	HYOU1	557	407
48631245	SLC26A6	508	459
186786222	EIF4A2	1623	1620
159764543	IQCJ-SCHIP1	1181	1010
4548702	RAD51AP1	1618	1670
175992259	KIAA1715	2300	2817
49616592	CHAT	737	846
13479520	RAB28	1168	1085
50745270	ASAH2B	1023	975
155294497	PKLR	1188	1121
18701573	TMEM86A	1412	1369
155015322	ZBTB7B	1658	1893
82049997	RFNG	2518	2703
44313123	AARS2	353	147
157428327	VEPH1	964	1001
36045812	SETD4	639	626
77208480	SYCE1L	1905	2075
112263079	AP1AR	486	405
144807577	ZNF517	787	463
111312295	CHIA	1042	1005
98262848	LOXL4	2812	2854
65016646	SLC1A4	2036	2605
37739579	HNF1B	695	877
59193687	PRR11	2370	1795
197954018	RPL35A	2208	777
14967424	NRIP1	1376	1719
3963902	RNF24	2220	1906
75640793	SMIM5	1559	1785
635672	C16orf13	833	612
42934475	CNPY3	2032	2122
56355476	STAT2	1392	1089
126810306	LMNB1	712	1002
68752101	SLC35E3	2361	1817
118999043	CCDC84	1541	102
64989479	BATF2	908	1207
35035183	CUL2	789	572
156277205	SMG5	435	60
30759710	C16orf93	538	712
24600647	ARHGAP21	811	604
37677015	LGALS1	788	676
171093933	TNIK	1011	853
100539179	GPR88	1053	1349
67884952	NRN1L	899	844
23558155	UBFD1	256	297
24403141	MRS2	563	545
29582130	GIT1	852	826
50370039	MRPL27	773	153
51270023	RNF11	732	747
63599241	MDH1	1043	860
35160753	FXYD5	1434	1092
202518868	BMPR2	2610	2587
70216433	TIA1	1217	835
243185784	CEP170	1345	1695
212686947	BATF3	898	814
7580802	DSP	2752	2839
170281231	PRKCI	798	902
124319647	OR8D2	761	887
222703198	AIDA	3040	3169
50093842	RBM5	1763	2383
76723878	JMJD6	773	176
105478345	CRIP2	1378	1851
82435749	HEXDC	2803	2970
93683613	CEP295	241	80
72434077	CLPB	575	250
145064609	ANAPC10	1372	214
51945044	PARP3	1008	910
64506711	RGS7BP	1287	2291
23276695	HOMEZ	721	679
81289702	SLC38A10	234	225
205771512	RAB29	787	868
47681826	ADGRF2	1670	1729
189775638	ORMDL1	1297	1334
56235243	SLC39A5	851	871
99175544	BCL11B	874	1055
137552153	MRPL41	1167	608
216499368	RPL37A	660	146
78415584	SCAMP1	962	797
10997746	TAS2R20	1028	1343
79899014	ST20	2500	2335
104526612	OR13C4	1507	1422
94781961	CYP2C19	1522	1823
79402036	HOMER1	1102	1148
139034174	ABRACL	1260	1222
4133644	ECI2	2477	2239
144200498	MROH1	323	305
67924152	TMPRSS11A	824	629
61880343	CCT4	2220	272
120411969	FSTL1	2162	1908
56372682	ANKFN1	864	1002
171790230	SMIM23	1171	1109
5075398	ALG1	837	379
50908657	KLK4	2603	3014
144851221	COMMD5	383	369
166366867	MPC1	870	991
84290204	SLC28A3	1857	1924
153715582	BCAP31	1023	989
59507262	FAM81A	1194	1075
158777143	OR6N2	2217	2805
43283028	C1orf210	422	368
137009478	IL20RA	1756	2334
118335586	FAM204A	2325	3525
61925006	INTS2	1028	699
69795287	RAB3IP	2922	2430
60647996	PPM1D	1066	564
101270030	LPPR1	1480	2219
141670056	ARAP3	357	290
55205425	PTPRH	1113	953
54291921	POLI	1300	1684
70885905	PCBD1	2435	2416
47645127	CORIN	2438	2359
226596854	C1orf95	458	392
73555514	ANKRA2	659	397
4298072	TMIGD2	584	450
53955067	HOXC12	1750	1340
12064483	LOC100133267	1229	816
95760195	DNAJC3	1314	1353
126609396	GRM8	1863	1629
56394183	TEX9	3761	4449
70733808	XKR9	3109	2502
115581101	TMED7-TICAM2	1441	1376
41150898	TREML1	1589	1566
128818921	ENDOG	941	1003
31538919	DSG2	3104	3385
36602282	MRM1	1990	1831
59192139	ZNF831	505	671
22273277	ZNF645	864	936
27577914	C2orf16	659	666
772497	PDDC1	992	800
32326592	BRCA2	723	230
43859812	CCDC122	1639	1852
10671389	ILF3	1208	277
94396493	GPR83	1721	1988
20380697	ITGB8	3750	3580
102719143	MFSD9	1646	1584
99982572	ZIC2	769	811
62762896	POLR2G	2673	751
133442741	ADAMTS13	1936	1781
144040875	SPATC1	2773	3322
