sgRNA,Gene,DLD1-Ts5.15.initial,DLD1-Ts5.15.final
AAK1_PKc_E2_40.1,AAK1,1499,1671
AAK1_PKc_E3_119.6,AAK1,610,622
AAK1_PKc_E4_109.3,AAK1,686,658
AAK1_PKc_E5_143.1,AAK1,756,674
AAK1_PKc_E6_122,AAK1,929,624
AAK1_PKc_E7_82.6,AAK1,933,744
AATK_PKc_E4_36,AATK,578,538
AATK_PKc_E5_119.11,AATK,1021,754
AATK_PKc_E6_88.9,AATK,1537,1246
AATK_PKc_E7_134.11,AATK,650,987
AATK_PKc_E8_85.7,AATK,1829,1527
AATK_PKc_E9_122.1,AATK,1791,881
ABL1_PKc_E4_120.11,ABL1,1129,1459
ABL1_PKc_E5_85,ABL1,2420,3744
ABL1_PKc_E6_178.11,ABL1,1507,1887
ABL1_PKc_E7_185.15,ABL1,1576,1907
ABL1_PKc_E8_153.18,ABL1,2007,4013
ABL1_PKc_E9_68,ABL1,1837,2426
ABL2_PKc_E10_68.4,ABL2,1091,559
ABL2_PKc_E5_120.8,ABL2,487,339
ABL2_PKc_E6_85.1,ABL2,984,900
ABL2_PKc_E7_178.9,ABL2,1056,1420
ABL2_PKc_E8_185,ABL2,624,769
ABL2_PKc_E9_153.7,ABL2,2087,1845
ACVR1_PKc_E10_131,ACVR1,1320,2742
ACVR1_PKc_E11_102.2,ACVR1,1485,1844
ACVR1_PKc_E6_40,ACVR1,1331,1011
ACVR1_PKc_E7_147.15,ACVR1,993,1428
ACVR1_PKc_E8_276.19,ACVR1,478,355
ACVR1_PKc_E9_198.4,ACVR1,742,785
ACVR1B_PKc_E10_102.5,ACVR1B,652,953
ACVR1B_PKc_E4_193.4,ACVR1B,922,726
ACVR1B_PKc_E5_123.4,ACVR1B,1501,1077
ACVR1B_PKc_E6_168.13,ACVR1B,2237,2720
ACVR1B_PKc_E7_157.5,ACVR1B,1327,1535
ACVR1B_PKc_E9_131.14,ACVR1B,791,726
ACVR1C_PKc_E4_193.16,ACVR1C,1453,1810
ACVR1C_PKc_E5_168.6,ACVR1C,799,1211
ACVR1C_PKc_E6_157.1,ACVR1C,766,794
ACVR1C_PKc_E7_125.7,ACVR1C,714,495
ACVR1C_PKc_E8_131.1,ACVR1C,1534,1680
ACVR1C_PKc_E9_102.6,ACVR1C,2361,3033
ACVR2A_PKc_E10_131.1,ACVR2A,2313,1949
ACVR2A_PKc_E5_87.3,ACVR2A,786,577
ACVR2A_PKc_E6_144,ACVR2A,366,291
ACVR2A_PKc_E7_146.12,ACVR2A,743,611
ACVR2A_PKc_E8_115.6,ACVR2A,1975,1493
ACVR2A_PKc_E9_139.9,ACVR2A,1440,1188
ACVRL1_PKc_E6_147.3,ACVRL1,944,956
ACVRL1_PKc_E6_147.8,ACVRL1,1607,1165
ACVRL1_PKc_E8_198.28,ACVRL1,399,225
ACVRL1_PKc_E8_198.4,ACVRL1,1742,1358
ACVRL1_PKc_E9_131,ACVRL1,576,463
ACVRL1_PKc_E9_131.6,ACVRL1,1271,2045
ADCK1_PKc_E5_159.11,ADCK1,935,1284
ADCK1_PKc_E5_159.31,ADCK1,859,580
ADCK1_PKc_E6_159.6,ADCK1,760,1087
ADCK1_PKc_E7_117.13,ADCK1,1259,1077
ADCK1_PKc_E8_150.18,ADCK1,1367,1059
ADCK1_PKc_E9_99.4,ADCK1,1710,1838
ADCK2_PKc_E1_534.7,ADCK2,918,690
