sgRNA,Gene,A2780_Ts8_D0,A2780_Ts8_D10
AAK1_PKc_E2_40.1,AAK1,876,6830
AAK1_PKc_E3_119.6,AAK1,504,10382
AAK1_PKc_E4_109.3,AAK1,521,2126
AAK1_PKc_E5_143.1,AAK1,530,760
AAK1_PKc_E6_122,AAK1,536,216
AAK1_PKc_E7_82.6,AAK1,773,1
AATK_PKc_E4_36,AATK,337,10
AATK_PKc_E5_119.11,AATK,806,377
AATK_PKc_E6_88.9,AATK,1028,918
AATK_PKc_E7_134.11,AATK,596,836
AATK_PKc_E8_85.7,AATK,1064,387
AATK_PKc_E9_122.1,AATK,983,267
ABL1_PKc_E4_120.11,ABL1,491,205
ABL1_PKc_E5_85,ABL1,2004,4969
ABL1_PKc_E6_178.11,ABL1,926,129
ABL1_PKc_E7_185.15,ABL1,1330,1147
ABL1_PKc_E8_153.18,ABL1,1503,600
ABL1_PKc_E9_68,ABL1,1203,264
ABL2_PKc_E10_68.4,ABL2,598,4029
ABL2_PKc_E5_120.8,ABL2,334,334
ABL2_PKc_E6_85.1,ABL2,617,693
ABL2_PKc_E7_178.9,ABL2,846,112
ABL2_PKc_E8_185,ABL2,549,1
ABL2_PKc_E9_153.7,ABL2,1558,3356
ACVR1_PKc_E10_131,ACVR1,1110,49
ACVR1_PKc_E11_102.2,ACVR1,1079,942
ACVR1_PKc_E6_40,ACVR1,703,1
ACVR1_PKc_E7_147.15,ACVR1,1054,1863
ACVR1_PKc_E8_276.19,ACVR1,408,124
ACVR1_PKc_E9_198.4,ACVR1,594,1060
ACVR1B_PKc_E10_102.5,ACVR1B,551,1845
ACVR1B_PKc_E4_193.4,ACVR1B,718,601
ACVR1B_PKc_E5_123.4,ACVR1B,1295,281
ACVR1B_PKc_E6_168.13,ACVR1B,1655,356
ACVR1B_PKc_E7_157.5,ACVR1B,1115,1749
ACVR1B_PKc_E9_131.14,ACVR1B,766,290
ACVR1C_PKc_E4_193.16,ACVR1C,918,2925
ACVR1C_PKc_E5_168.6,ACVR1C,632,1
ACVR1C_PKc_E6_157.1,ACVR1C,681,100
ACVR1C_PKc_E7_125.7,ACVR1C,404,98
ACVR1C_PKc_E8_131.1,ACVR1C,1267,9
ACVR1C_PKc_E9_102.6,ACVR1C,2164,225
ACVR2A_PKc_E10_131.1,ACVR2A,1508,534
ACVR2A_PKc_E5_87.3,ACVR2A,592,553
ACVR2A_PKc_E6_144,ACVR2A,201,122
ACVR2A_PKc_E7_146.12,ACVR2A,724,4189
ACVR2A_PKc_E8_115.6,ACVR2A,1464,622
ACVR2A_PKc_E9_139.9,ACVR2A,1063,7234
ACVRL1_PKc_E6_147.3,ACVRL1,769,179
ACVRL1_PKc_E6_147.8,ACVRL1,945,202
ACVRL1_PKc_E8_198.28,ACVRL1,193,29
ACVRL1_PKc_E8_198.4,ACVRL1,1160,1059
ACVRL1_PKc_E9_131,ACVRL1,461,121
ACVRL1_PKc_E9_131.6,ACVRL1,906,2983
ADCK1_PKc_E5_159.11,ADCK1,730,134
ADCK1_PKc_E5_159.31,ADCK1,581,2069
ADCK1_PKc_E6_159.6,ADCK1,694,457
ADCK1_PKc_E7_117.13,ADCK1,678,4
ADCK1_PKc_E8_150.18,ADCK1,765,2926
ADCK1_PKc_E9_99.4,ADCK1,1312,1795
ADCK2_PKc_E1_534.7,ADCK2,384,1
ADCK2_PKc_E3_129.17,ADCK2,809,513
ADCK2_PKc_E4_96.5,ADCK2,506,367
ADCK2_PKc_E6_129.2,ADCK2,422,1
ADCK2_PKc_E7_54,ADCK2,1204,820
ADCK2_PKc_E8_114.6,ADCK2,641,560
ADCK3_PKc_E10_94.9,ADCK3,783,44
ADCK3_PKc_E11_142.6,ADCK3,702,231
ADCK3_PKc_E12_108.8,ADCK3,800,1160
ADCK3_PKc_E13_66.1,ADCK3,807,6820
ADCK3_PKc_E8_141.23,ADCK3,1018,1322
ADCK3_PKc_E9_82.2,ADCK3,1895,24660
ADCK4_PKc_E10_94.6,ADCK4,299,6
ADCK4_PKc_E12_108.1,ADCK4,364,417
ADCK4_PKc_E13_66.2,ADCK4,1153,831
ADCK4_PKc_E14_87.6,ADCK4,1279,16
ADCK4_PKc_E8_141.12,ADCK4,679,348
ADCK4_PKc_E9_82.4,ADCK4,528,20
ADCK5_PKc_E10_82.1,ADCK5,910,254
ADCK5_PKc_E11_79.1,ADCK5,1117,152
ADCK5_PKc_E12_52.5,ADCK5,556,61
ADCK5_PKc_E7_114.17,ADCK5,1072,50
ADCK5_PKc_E8_132.7,ADCK5,976,1607
ADCK5_PKc_E9_84.2,ADCK5,1033,141
ADRBK1_PKc_E10_79.2,ADRBK1,1045,157
ADRBK1_PKc_E11_131.9,ADRBK1,688,464
ADRBK1_PKc_E12_95.3,ADRBK1,658,5
ADRBK1_PKc_E13_108.17,ADRBK1,1412,2877
ADRBK1_PKc_E8_80.4,ADRBK1,304,180
ADRBK1_PKc_E9_100.8,ADRBK1,1297,829
ADRBK2_PKc_E10_79.5,ADRBK2,180,490
ADRBK2_PKc_E11_131.8,ADRBK2,1111,118
ADRBK2_PKc_E12_95.1,ADRBK2,1173,12
ADRBK2_PKc_E13_108.5,ADRBK2,647,258
ADRBK2_PKc_E8_92.2,ADRBK2,410,31
ADRBK2_PKc_E9_100.2,ADRBK2,1371,8712
AK1_PKc_E3_28,AK1,1109,225
AK1_PKc_E3_28.1,AK1,621,3112
AK1_PKc_E4_164.19,AK1,1056,323
AK1_PKc_E4_164.27,AK1,1773,427
AK1_PKc_E5_117.13,AK1,802,337
AK1_PKc_E5_117.2,AK1,707,77
AK2_PKc_E6_159,AK2,846,411
AK2_PKc_E6_159.16,AK2,975,557
AK2_PKc_E6_159.17,AK2,561,330
AK2_PKc_E6_159.19,AK2,1207,555
AK2_PKc_E6_159.21,AK2,753,59
AK2_PKc_E6_159.6,AK2,9,1
AK3_PKc_E1_127.14,AK3,1138,178
AK3_PKc_E1_127.18,AK3,496,13
AK3_PKc_E2_120.3,AK3,1347,970
AK3_PKc_E3_173.2,AK3,1000,615
AK3_PKc_E4_119.7,AK3,1018,117
AK3_PKc_E5_40,AK3,356,1
AKT1_PKc_E10_129.13,AKT1,712,16774
AKT1_PKc_E5_66.5,AKT1,526,1554
AKT1_PKc_E6_132.15,AKT1,768,1
AKT1_PKc_E7_66.3,AKT1,623,1108
AKT1_PKc_E8_69.2,AKT1,1425,1605
AKT1_PKc_E9_126.3,AKT1,695,92
AKT2_PKc_E10_129.1,AKT2,542,170
AKT2_PKc_E11_215.3,AKT2,307,1
AKT2_PKc_E6_120.14,AKT2,631,405
AKT2_PKc_E7_66.3,AKT2,313,1
AKT2_PKc_E8_69.8,AKT2,2009,2047
AKT2_PKc_E9_123.8,AKT2,933,83
AKT3_PKc_E10_215.1,AKT3,278,160
AKT3_PKc_E4_36,AKT3,831,20
AKT3_PKc_E5_132.2,AKT3,1262,234
AKT3_PKc_E7_69.7,AKT3,2007,7523
AKT3_PKc_E8_123.3,AKT3,1163,362
AKT3_PKc_E9_129.5,AKT3,1054,277
ALK_PKc_E20_35,ALK,1078,2346
ALK_PKc_E21_91.12,ALK,308,124
ALK_PKc_E22_65.1,ALK,588,511
ALK_PKc_E23_130,ALK,2144,282
ALK_PKc_E24_98.8,ALK,1308,426
ALK_PKc_E25_93.7,ALK,1770,145
AMHR2_PKc_E10_137.5,AMHR2,1540,1970
AMHR2_PKc_E11_108.5,AMHR2,1253,1737
AMHR2_PKc_E6_231.14,AMHR2,550,609
AMHR2_PKc_E7_115.1,AMHR2,1225,5
AMHR2_PKc_E8_173.31,AMHR2,1733,3524
AMHR2_PKc_E9_148.14,AMHR2,413,280
ANKK1_PKc_E1_113.15,ANKK1,727,126
ANKK1_PKc_E1_113.4,ANKK1,2129,730
ANKK1_PKc_E2_295.2,ANKK1,1163,600
ANKK1_PKc_E3_152.22,ANKK1,645,195
ANKK1_PKc_E5_156.2,ANKK1,518,384
ANKK1_PKc_E6_41,ANKK1,951,1142
ARAF_PKc_E10_152.4,ARAF,1395,7969
