sgRNA,Gene,Snu-1_clone_12_D=0,Snu-1_clone_12_D=10
AAK1_PKc_E2_40.1,AAK1,900,700
AAK1_PKc_E3_119.6,AAK1,302,199
AAK1_PKc_E4_109.3,AAK1,428,453
AAK1_PKc_E5_143.1,AAK1,384,555
AAK1_PKc_E6_122,AAK1,606,465
AAK1_PKc_E7_82.6,AAK1,475,558
AATK_PKc_E4_36,AATK,387,127
AATK_PKc_E5_119.11,AATK,633,435
AATK_PKc_E6_88.9,AATK,1044,627
AATK_PKc_E7_134.11,AATK,445,526
AATK_PKc_E8_85.7,AATK,1019,558
AATK_PKc_E9_122.1,AATK,912,694
ABL1_PKc_E4_120.11,ABL1,688,519
ABL1_PKc_E5_85,ABL1,1764,967
ABL1_PKc_E6_178.11,ABL1,682,532
ABL1_PKc_E7_185.15,ABL1,992,791
ABL1_PKc_E8_153.18,ABL1,1494,1134
ABL1_PKc_E9_68,ABL1,1121,711
ABL2_PKc_E10_68.4,ABL2,560,363
ABL2_PKc_E5_120.8,ABL2,291,255
ABL2_PKc_E6_85.1,ABL2,739,406
ABL2_PKc_E7_178.9,ABL2,682,615
ABL2_PKc_E8_185,ABL2,495,518
ABL2_PKc_E9_153.7,ABL2,1220,1576
ACVR1_PKc_E10_131,ACVR1,885,983
ACVR1_PKc_E11_102.2,ACVR1,868,915
ACVR1_PKc_E6_40,ACVR1,783,498
ACVR1_PKc_E7_147.15,ACVR1,739,630
ACVR1_PKc_E8_276.19,ACVR1,228,322
ACVR1_PKc_E9_198.4,ACVR1,440,436
ACVR1B_PKc_E10_102.5,ACVR1B,321,630
ACVR1B_PKc_E4_193.4,ACVR1B,665,627
ACVR1B_PKc_E5_123.4,ACVR1B,999,682
ACVR1B_PKc_E6_168.13,ACVR1B,1199,1329
ACVR1B_PKc_E7_157.5,ACVR1B,1091,746
ACVR1B_PKc_E9_131.14,ACVR1B,623,476
ACVR1C_PKc_E4_193.16,ACVR1C,799,595
ACVR1C_PKc_E5_168.6,ACVR1C,613,546
ACVR1C_PKc_E6_157.1,ACVR1C,429,675
ACVR1C_PKc_E7_125.7,ACVR1C,473,591
ACVR1C_PKc_E8_131.1,ACVR1C,1210,822
