sgRNA,Gene,Snu-1_WT_C13_D=0,Snu-1_WT_C13_D=10
AAK1_PKc_E2_40.1,AAK1,741,628
AAK1_PKc_E3_119.6,AAK1,352,589
AAK1_PKc_E4_109.3,AAK1,395,376
AAK1_PKc_E5_143.1,AAK1,407,441
AAK1_PKc_E6_122,AAK1,622,503
AAK1_PKc_E7_82.6,AAK1,729,610
AATK_PKc_E4_36,AATK,409,71
AATK_PKc_E5_119.11,AATK,700,636
AATK_PKc_E6_88.9,AATK,907,523
AATK_PKc_E7_134.11,AATK,401,523
AATK_PKc_E8_85.7,AATK,915,660
AATK_PKc_E9_122.1,AATK,799,840
ABL1_PKc_E4_120.11,ABL1,587,647
ABL1_PKc_E5_85,ABL1,1815,1515
ABL1_PKc_E6_178.11,ABL1,760,789
ABL1_PKc_E7_185.15,ABL1,1181,915
ABL1_PKc_E8_153.18,ABL1,1399,1172
ABL1_PKc_E9_68,ABL1,1143,891
ABL2_PKc_E10_68.4,ABL2,488,586
ABL2_PKc_E5_120.8,ABL2,270,248
ABL2_PKc_E6_85.1,ABL2,536,421
ABL2_PKc_E7_178.9,ABL2,646,534
ABL2_PKc_E8_185,ABL2,349,423
ABL2_PKc_E9_153.7,ABL2,1448,1150
ACVR1_PKc_E10_131,ACVR1,987,891
ACVR1_PKc_E11_102.2,ACVR1,753,940
ACVR1_PKc_E6_40,ACVR1,638,477
ACVR1_PKc_E7_147.15,ACVR1,743,571
ACVR1_PKc_E8_276.19,ACVR1,133,314
ACVR1_PKc_E9_198.4,ACVR1,432,625
ACVR1B_PKc_E10_102.5,ACVR1B,408,413
ACVR1B_PKc_E4_193.4,ACVR1B,575,682
ACVR1B_PKc_E5_123.4,ACVR1B,856,963
ACVR1B_PKc_E6_168.13,ACVR1B,1030,1615
ACVR1B_PKc_E7_157.5,ACVR1B,839,583
ACVR1B_PKc_E9_131.14,ACVR1B,502,533
ACVR1C_PKc_E4_193.16,ACVR1C,617,1157
ACVR1C_PKc_E5_168.6,ACVR1C,613,607
ACVR1C_PKc_E6_157.1,ACVR1C,574,750
ACVR1C_PKc_E7_125.7,ACVR1C,374,183
ACVR1C_PKc_E8_131.1,ACVR1C,874,1114
ACVR1C_PKc_E9_102.6,ACVR1C,1469,1325
ACVR2A_PKc_E10_131.1,ACVR2A,1391,1014
ACVR2A_PKc_E5_87.3,ACVR2A,400,635
ACVR2A_PKc_E6_144,ACVR2A,288,235
ACVR2A_PKc_E7_146.12,ACVR2A,597,378
ACVR2A_PKc_E8_115.6,ACVR2A,1483,1257
ACVR2A_PKc_E9_139.9,ACVR2A,1005,1027
ACVRL1_PKc_E6_147.3,ACVRL1,588,756
ACVRL1_PKc_E6_147.8,ACVRL1,842,466
ACVRL1_PKc_E8_198.28,ACVRL1,122,130
ACVRL1_PKc_E8_198.4,ACVRL1,784,1092
ACVRL1_PKc_E9_131,ACVRL1,364,493
ACVRL1_PKc_E9_131.6,ACVRL1,675,816
ADCK1_PKc_E5_159.11,ADCK1,518,744
ADCK1_PKc_E5_159.31,ADCK1,618,794
ADCK1_PKc_E6_159.6,ADCK1,401,569
ADCK1_PKc_E7_117.13,ADCK1,546,817
ADCK1_PKc_E8_150.18,ADCK1,696,869
ADCK1_PKc_E9_99.4,ADCK1,1105,1338
ADCK2_PKc_E1_534.7,ADCK2,317,254
ADCK2_PKc_E3_129.17,ADCK2,689,994
ADCK2_PKc_E4_96.5,ADCK2,416,568
ADCK2_PKc_E6_129.2,ADCK2,318,423
ADCK2_PKc_E7_54,ADCK2,1085,1217
ADCK2_PKc_E8_114.6,ADCK2,644,851
ADCK3_PKc_E10_94.9,ADCK3,714,1218
ADCK3_PKc_E11_142.6,ADCK3,646,524
ADCK3_PKc_E12_108.8,ADCK3,753,922
ADCK3_PKc_E13_66.1,ADCK3,604,486
ADCK3_PKc_E8_141.23,ADCK3,634,850
ADCK3_PKc_E9_82.2,ADCK3,1411,2236
ADCK4_PKc_E10_94.6,ADCK4,266,262
ADCK4_PKc_E12_108.1,ADCK4,364,354
ADCK4_PKc_E13_66.2,ADCK4,927,1078
ADCK4_PKc_E14_87.6,ADCK4,903,1041
ADCK4_PKc_E8_141.12,ADCK4,596,869
ADCK4_PKc_E9_82.4,ADCK4,560,383
ADCK5_PKc_E10_82.1,ADCK5,912,737
ADCK5_PKc_E11_79.1,ADCK5,881,1147
ADCK5_PKc_E12_52.5,ADCK5,393,303
ADCK5_PKc_E7_114.17,ADCK5,1049,1172
ADCK5_PKc_E8_132.7,ADCK5,957,1082
ADCK5_PKc_E9_84.2,ADCK5,651,554
ADRBK1_PKc_E10_79.2,ADRBK1,960,993
ADRBK1_PKc_E11_131.9,ADRBK1,717,279
ADRBK1_PKc_E12_95.3,ADRBK1,473,402
ADRBK1_PKc_E13_108.17,ADRBK1,1349,1080
ADRBK1_PKc_E8_80.4,ADRBK1,263,228
ADRBK1_PKc_E9_100.8,ADRBK1,1006,1202
ADRBK2_PKc_E10_79.5,ADRBK2,149,297
ADRBK2_PKc_E11_131.8,ADRBK2,788,957
ADRBK2_PKc_E12_95.1,ADRBK2,1423,1507
ADRBK2_PKc_E13_108.5,ADRBK2,639,857
ADRBK2_PKc_E8_92.2,ADRBK2,484,555
ADRBK2_PKc_E9_100.2,ADRBK2,1174,1213
AK1_PKc_E3_28,AK1,863,645
AK1_PKc_E3_28.1,AK1,436,502
AK1_PKc_E4_164.19,AK1,1087,951
AK1_PKc_E4_164.27,AK1,1842,1653
AK1_PKc_E5_117.13,AK1,945,644
AK1_PKc_E5_117.2,AK1,651,394
AK2_PKc_E6_159,AK2,1044,1293
AK2_PKc_E6_159.16,AK2,642,920
AK2_PKc_E6_159.17,AK2,375,660
AK2_PKc_E6_159.19,AK2,901,839
AK2_PKc_E6_159.21,AK2,656,389
AK2_PKc_E6_159.6,AK2,1,11
AK3_PKc_E1_127.14,AK3,1239,807
AK3_PKc_E1_127.18,AK3,576,506
AK3_PKc_E2_120.3,AK3,1123,1320
AK3_PKc_E3_173.2,AK3,736,766
AK3_PKc_E4_119.7,AK3,676,663
AK3_PKc_E5_40,AK3,290,98
AKT1_PKc_E10_129.13,AKT1,901,1044
AKT1_PKc_E5_66.5,AKT1,480,331
AKT1_PKc_E6_132.15,AKT1,537,544
AKT1_PKc_E7_66.3,AKT1,443,469
AKT1_PKc_E8_69.2,AKT1,935,846
AKT1_PKc_E9_126.3,AKT1,560,191
AKT2_PKc_E10_129.1,AKT2,488,537
AKT2_PKc_E11_215.3,AKT2,197,316
AKT2_PKc_E6_120.14,AKT2,536,215
AKT2_PKc_E7_66.3,AKT2,410,145
AKT2_PKc_E8_69.8,AKT2,1642,1061
AKT2_PKc_E9_123.8,AKT2,663,669
AKT3_PKc_E10_215.1,AKT3,265,211
AKT3_PKc_E4_36,AKT3,745,1188
AKT3_PKc_E5_132.2,AKT3,964,1029
AKT3_PKc_E7_69.7,AKT3,1653,1966
AKT3_PKc_E8_123.3,AKT3,1217,1104
AKT3_PKc_E9_129.5,AKT3,722,1114
ALK_PKc_E20_35,ALK,1041,1253
ALK_PKc_E21_91.12,ALK,153,340
ALK_PKc_E22_65.1,ALK,453,646
ALK_PKc_E23_130,ALK,1750,1941
ALK_PKc_E24_98.8,ALK,997,710
ALK_PKc_E25_93.7,ALK,1372,830
AMHR2_PKc_E10_137.5,AMHR2,1463,1475
AMHR2_PKc_E11_108.5,AMHR2,944,719
AMHR2_PKc_E6_231.14,AMHR2,433,769
AMHR2_PKc_E7_115.1,AMHR2,1265,623
AMHR2_PKc_E8_173.31,AMHR2,1416,1539
AMHR2_PKc_E9_148.14,AMHR2,216,574
ANKK1_PKc_E1_113.15,ANKK1,483,582
ANKK1_PKc_E1_113.4,ANKK1,1615,1858
ANKK1_PKc_E2_295.2,ANKK1,771,1038
ANKK1_PKc_E3_152.22,ANKK1,630,901
ANKK1_PKc_E5_156.2,ANKK1,342,387
ANKK1_PKc_E6_41,ANKK1,915,619
ARAF_PKc_E10_152.4,ARAF,1089,1540
ARAF_PKc_E10_152.5,ARAF,574,504
ARAF_PKc_E11_177.1,ARAF,403,210
ARAF_PKc_E11_177.9,ARAF,580,379
ARAF_PKc_E12_47,ARAF,709,760
ARAF_PKc_E14_132.7,ARAF,1470,1613
ATM_PKc_E60_115.5,ATM,711,687
ATM_PKc_E60_115.6,ATM,346,419
ATM_PKc_E61_64,ATM,271,323
ATM_PKc_E61_64.1,ATM,554,847
ATM_PKc_E62_36,ATM,844,690
ATM_PKc_E62_36.1,ATM,481,666
ATR_PKc_E41_144.3,ATR,485,606
ATR_PKc_E42_151.4,ATR,1302,840
ATR_PKc_E43_157.9,ATR,1209,607
ATR_PKc_E44_154.6,ATR,485,79
ATR_PKc_E45_152,ATR,576,488
ATR_PKc_E46_46.1,ATR,754,895
AURKA_PKc_E10_175.19,AURKA,828,856
AURKA_PKc_E7_188.1,AURKA,815,168
AURKA_PKc_E7_188.1,AURKA,381,195
AURKA_PKc_E8_139,AURKA,440,267
AURKA_PKc_E8_139.6,AURKA,697,669
AURKA_PKc_E9_149.6,AURKA,954,859
AURKB_PKc_E5_191.1,AURKB,942,848
AURKB_PKc_E5_191.2,AURKB,423,326
AURKB_PKc_E6_139.5,AURKB,588,409
AURKB_PKc_E7_149.8,AURKB,1056,1476
AURKB_PKc_E8_175.4,AURKB,421,220
AURKB_PKc_E9_156.14,AURKB,945,644
AURKC_PKc_E3_191.2,AURKC,638,364
AURKC_PKc_E3_191.21,AURKC,324,380
AURKC_PKc_E4_139.1,AURKC,631,675
AURKC_PKc_E5_149.13,AURKC,152,174
AURKC_PKc_E6_175.14,AURKC,738,370
AURKC_PKc_E7_156.13,AURKC,668,539
AXL_PKc_E13_31,AXL,299,261
AXL_PKc_E14_78.7,AXL,562,512
AXL_PKc_E15_93.5,AXL,916,774
AXL_PKc_E16_122.7,AXL,635,284
AXL_PKc_E17_110.5,AXL,389,232
AXL_PKc_E18_160.14,AXL,1027,625
BCR_PKc_E1_1278.13,BCR,213,269
BCR_PKc_E1_1278.203,BCR,200,225
BCR_PKc_E1_1278.242,BCR,607,429
BCR_PKc_E1_1278.57,BCR,1,1
BCR_PKc_E1_1278.9,BCR,220,237
BCR_PKc_E1_1278.96,BCR,945,640
BLK_PKc_E10_77.4,BLK,970,919
BLK_PKc_E11_151.13,BLK,383,475
BLK_PKc_E12_132.4,BLK,655,899
BLK_PKc_E13_176.19,BLK,597,859
BLK_PKc_E8_76.7,BLK,488,600
BLK_PKc_E9_180.11,BLK,944,534
BMP2K_PKc_E1_40.1,BMP2K,904,1086
BMP2K_PKc_E2_119.7,BMP2K,457,460
BMP2K_PKc_E3_106.5,BMP2K,379,207
BMP2K_PKc_E4_143.5,BMP2K,854,949
BMP2K_PKc_E5_122.2,BMP2K,909,1110
BMP2K_PKc_E6_82.7,BMP2K,456,364
BMPR1A_PKc_E10_298,BMPR1A,319,129
BMPR1A_PKc_E10_298.1,BMPR1A,1193,506
BMPR1A_PKc_E11_176.18,BMPR1A,459,316
BMPR1A_PKc_E11_176.4,BMPR1A,966,789
BMPR1A_PKc_E13_99.2,BMPR1A,387,557
BMPR1A_PKc_E13_99.3,BMPR1A,573,431
BMPR1B_PKc_E10_131.6,BMPR1B,1522,1054
BMPR1B_PKc_E11_123.7,BMPR1B,893,1047
BMPR1B_PKc_E7_187.11,BMPR1B,671,618
BMPR1B_PKc_E7_187.4,BMPR1B,525,545
BMPR1B_PKc_E8_298.19,BMPR1B,1402,1136
BMPR1B_PKc_E9_176,BMPR1B,1557,1393
BMPR2_PKc_E10_137.6,BMPR2,1091,1046
BMPR2_PKc_E11_99.2,BMPR2,716,532
BMPR2_PKc_E6_231,BMPR2,612,594
BMPR2_PKc_E6_231.14,BMPR2,95,100
BMPR2_PKc_E7_115.4,BMPR2,1006,851
BMPR2_PKc_E7_115.6,BMPR2,835,563
BRAF_PKc_E12_85.2,BRAF,627,647
BRAF_PKc_E13_177.6,BRAF,851,650
BRAF_PKc_E14_47.1,BRAF,1289,1459
BRAF_PKc_E15_119.2,BRAF,1150,909
BRAF_PKc_E16_132.5,BRAF,713,840
BRAF_PKc_E17_135,BRAF,228,465
BRSK1_PKc_E1_43.4,BRSK1,807,657
BRSK1_PKc_E2_95.4,BRSK1,779,576
BRSK1_PKc_E3_86,BRSK1,455,543
BRSK1_PKc_E4_141.5,BRSK1,416,426
BRSK1_PKc_E5_117.2,BRSK1,455,288
BRSK1_PKc_E6_34,BRSK1,384,566
BRSK2_PKc_E1_43.7,BRSK2,384,575
BRSK2_PKc_E2_95.4,BRSK2,599,702
BRSK2_PKc_E3_86.2,BRSK2,415,373
BRSK2_PKc_E4_141.11,BRSK2,274,345
BRSK2_PKc_E5_117.9,BRSK2,596,405
BRSK2_PKc_E6_34.3,BRSK2,982,1723
BTK_PKc_E14_161.16,BTK,1119,1107
BTK_PKc_E15_217.14,BTK,1238,956
BTK_PKc_E16_65,BTK,692,1080
BTK_PKc_E17_119.1,BTK,863,967
BTK_PKc_E18_158.4,BTK,1304,1620
BTK_PKc_E19_48,BTK,101,116
BUB1_PKc_E20_108.7,BUB1,459,390
BUB1_PKc_E21_162.7,BUB1,439,123
BUB1_PKc_E22_158.8,BUB1,1414,1221
BUB1_PKc_E23_172.2,BUB1,1109,676
BUB1_PKc_E24_107,BUB1,838,579
BUB1_PKc_E25_157.4,BUB1,1124,553
BUB1B_PKc_E17_37,BUB1B,1235,847
BUB1B_PKc_E18_101.2,BUB1B,381,236
BUB1B_PKc_E19_150.8,BUB1B,620,336
BUB1B_PKc_E20_143.5,BUB1B,862,866
BUB1B_PKc_E21_172.12,BUB1B,1036,436
BUB1B_PKc_E22_107.9,BUB1B,1139,779
CAMK1_PKc_E2_38,CAMK1,658,828
CAMK1_PKc_E3_132.17,CAMK1,444,390
CAMK1_PKc_E4_75.9,CAMK1,1737,1562
CAMK1_PKc_E5_139,CAMK1,685,417
CAMK1_PKc_E6_127.1,CAMK1,1639,1638
CAMK1_PKc_E7_76.4,CAMK1,908,890
CAMK1D_PKc_E1_59,CAMK1D,1046,982
CAMK1D_PKc_E2_132.3,CAMK1D,165,102
CAMK1D_PKc_E3_75.1,CAMK1D,1414,1727
CAMK1D_PKc_E4_139.1,CAMK1D,380,490
CAMK1D_PKc_E5_127.8,CAMK1D,1469,1040
CAMK1D_PKc_E6_76.2,CAMK1D,709,748
CAMK1G_PKc_E10_82,CAMK1G,1241,1686
CAMK1G_PKc_E10_82.8,CAMK1G,266,221
CAMK1G_PKc_E2_38,CAMK1G,589,297
CAMK1G_PKc_E2_38.1,CAMK1G,385,717
CAMK1G_PKc_E3_129.2,CAMK1G,653,1039
CAMK1G_PKc_E3_129.8,CAMK1G,196,163
CAMK2A_PKc_E2_95,CAMK2A,348,486
CAMK2A_PKc_E3_60,CAMK2A,946,868
CAMK2A_PKc_E4_55.3,CAMK2A,2267,2607
CAMK2A_PKc_E5_66.6,CAMK2A,520,569
CAMK2A_PKc_E6_73.3,CAMK2A,2035,1186
CAMK2A_PKc_E7_103.16,CAMK2A,887,1107
CAMK2B_PKc_E1_32,CAMK2B,1022,575
CAMK2B_PKc_E2_95.3,CAMK2B,807,487
CAMK2B_PKc_E3_60.2,CAMK2B,840,921
CAMK2B_PKc_E4_55,CAMK2B,1243,1232
CAMK2B_PKc_E5_66.1,CAMK2B,449,578
CAMK2B_PKc_E6_73.6,CAMK2B,1482,1653
CAMK2D_PKc_E1_32,CAMK2D,681,832
CAMK2D_PKc_E2_95.4,CAMK2D,818,927
CAMK2D_PKc_E3_60,CAMK2D,274,173
CAMK2D_PKc_E4_55.2,CAMK2D,1073,1681
CAMK2D_PKc_E5_66,CAMK2D,186,296
CAMK2D_PKc_E6_73.1,CAMK2D,530,501
CAMK2G_PKc_E1_32.1,CAMK2G,430,454
CAMK2G_PKc_E2_95.4,CAMK2G,535,987
CAMK2G_PKc_E3_60.2,CAMK2G,257,440
CAMK2G_PKc_E4_55.3,CAMK2G,997,1068
CAMK2G_PKc_E5_66.2,CAMK2G,328,395
CAMK2G_PKc_E6_73.1,CAMK2G,1105,448
CAMK4_PKc_E1_38.2,CAMK4,874,970
CAMK4_PKc_E2_79.4,CAMK4,225,298
CAMK4_PKc_E3_63,CAMK4,471,750
CAMK4_PKc_E4_83.1,CAMK4,921,1219
CAMK4_PKc_E5_73.1,CAMK4,791,1124
CAMK4_PKc_E6_91.4,CAMK4,791,686
CAMKK1_PKc_E3_30,CAMKK1,924,1289
CAMKK1_PKc_E4_54.2,CAMKK1,856,453
CAMKK1_PKc_E5_52,CAMKK1,401,650
CAMKK1_PKc_E6_134.7,CAMKK1,493,443
CAMKK1_PKc_E7_37,CAMKK1,1024,1410
CAMKK1_PKc_E9_89.4,CAMKK1,2018,1740
CAMKK2_PKc_E3_36,CAMKK2,1591,1829
CAMKK2_PKc_E4_54,CAMKK2,1249,1571
CAMKK2_PKc_E5_52.1,CAMKK2,348,327
CAMKK2_PKc_E6_134.7,CAMKK2,273,308
CAMKK2_PKc_E7_37.3,CAMKK2,1,1
CAMKK2_PKc_E9_89.6,CAMKK2,589,370
CAMKV_PKc_E3_132.12,CAMKV,642,445
CAMKV_PKc_E3_132.8,CAMKV,471,605
CAMKV_PKc_E4_75.2,CAMKV,464,743
CAMKV_PKc_E4_75.5,CAMKV,854,769
CAMKV_PKc_E5_139.14,CAMKV,1130,1199
CAMKV_PKc_E6_121.12,CAMKV,1191,956
CASK_PKc_E3_106,CASK,980,1100
CASK_PKc_E3_106.2,CASK,824,744
CASK_PKc_E5_73,CASK,1483,1392
CASK_PKc_E5_73.1,CASK,258,260
CASK_PKc_E6_103.2,CASK,475,630
CASK_PKc_E8_123.4,CASK,894,950
CDC42BPA_PKc_E1_169.4,CDC42BPA,1175,626
CDC42BPA_PKc_E2_92.2,CDC42BPA,320,290
CDC42BPA_PKc_E3_84,CDC42BPA,367,183
CDC42BPA_PKc_E4_96,CDC42BPA,524,348
CDC42BPA_PKc_E5_149.8,CDC42BPA,926,998
CDC42BPA_PKc_E6_94.3,CDC42BPA,1165,721
CDC42BPB_PKc_E1_169.12,CDC42BPB,764,504
CDC42BPB_PKc_E2_92.2,CDC42BPB,826,806
CDC42BPB_PKc_E3_84.2,CDC42BPB,1002,667
CDC42BPB_PKc_E4_96.3,CDC42BPB,523,801
CDC42BPB_PKc_E5_149.5,CDC42BPB,268,119
CDC42BPB_PKc_E6_94.2,CDC42BPB,473,435
CDC42BPG_PKc_E2_48.1,CDC42BPG,473,547
CDC42BPG_PKc_E3_84.3,CDC42BPG,1037,863
CDC42BPG_PKc_E4_96.3,CDC42BPG,361,289
CDC42BPG_PKc_E5_149.5,CDC42BPG,547,437
CDC42BPG_PKc_E6_94.3,CDC42BPG,859,539
CDC42BPG_PKc_E7_201.27,CDC42BPG,139,262
CDC7_PKc_E3_34,CDC7,383,752
CDC7_PKc_E4_136.1,CDC7,825,383
CDC7_PKc_E5_94.1,CDC7,743,311
CDC7_PKc_E6_143.7,CDC7,304,84
CDC7_PKc_E7_250.6,CDC7,848,981
CDC7_PKc_E8_96.2,CDC7,313,293
CDK1_PKc_E2_37.1,CDK1,1050,1534
CDK1_PKc_E4_124.1,CDK1,976,832
CDK1_PKc_E6_164,CDK1,496,243
CDK10_PKc_E2_70.1,CDK10,492,579
CDK10_PKc_E3_72.5,CDK10,407,405
CDK10_PKc_E4_103.11,CDK10,1240,874
CDK10_PKc_E5_82.4,CDK10,560,368
CDK10_PKc_E6_68.2,CDK10,287,145
CDK10_PKc_E7_53.1,CDK10,828,837
CDK11A_PKc_E13_122.13,CDK11A,715,995
CDK11A_PKc_E13_122.15,CDK11A,627,841
CDK11A_PKc_E14_106.1,CDK11A,494,422
CDK11A_PKc_E15_122.4,CDK11A,575,848
CDK11A_PKc_E16_108.16,CDK11A,809,172
CDK11A_PKc_E18_149.14,CDK11A,1497,1845
CDK11B_PKc_E13_122.7,CDK11B,337,269
CDK11B_PKc_E14_106.1,CDK11B,859,889
CDK11B_PKc_E15_122.1,CDK11B,764,727
CDK11B_PKc_E16_108.16,CDK11B,258,51
CDK11B_PKc_E17_117.11,CDK11B,1076,1252
CDK11B_PKc_E18_149.2,CDK11B,528,694
CDK12_PKc_E4_94.7,CDK12,745,766
CDK12_PKc_E5_171.8,CDK12,502,657
CDK12_PKc_E6_190.11,CDK12,387,166
CDK12_PKc_E7_57,CDK12,1466,1194
CDK12_PKc_E8_102.1,CDK12,736,448
CDK12_PKc_E9_78.1,CDK12,691,831
CDK13_PKc_E4_94.2,CDK13,817,721
CDK13_PKc_E5_171,CDK13,382,515
CDK13_PKc_E6_190.2,CDK13,887,1222
CDK13_PKc_E7_57,CDK13,717,837
CDK13_PKc_E8_102.1,CDK13,1218,1072
CDK13_PKc_E9_78.2,CDK13,827,421
CDK14_PKc_E4_80.5,CDK14,882,728
CDK14_PKc_E5_80.5,CDK14,778,973
CDK14_PKc_E6_95.1,CDK14,1458,1122
CDK14_PKc_E7_63.2,CDK14,1728,2066
CDK14_PKc_E8_124.5,CDK14,215,127
CDK14_PKc_E9_121.7,CDK14,898,893
CDK15_PKc_E3_65.5,CDK15,587,949
CDK15_PKc_E4_80.2,CDK15,1801,1533
CDK15_PKc_E5_95.2,CDK15,528,389
CDK15_PKc_E6_63.4,CDK15,594,935
CDK15_PKc_E7_124.3,CDK15,527,349
CDK15_PKc_E8_121,CDK15,690,1113
CDK16_PKc_E10_121.7,CDK16,358,457
CDK16_PKc_E5_36,CDK16,1088,1323
CDK16_PKc_E6_115.13,CDK16,672,327
CDK16_PKc_E7_95.4,CDK16,1222,1852
CDK16_PKc_E8_63.4,CDK16,696,1072
CDK16_PKc_E9_124.3,CDK16,1286,1482
CDK17_PKc_E10_124.1,CDK17,1224,1546
CDK17_PKc_E11_121.4,CDK17,1149,1392
CDK17_PKc_E6_48.2,CDK17,1081,1052
CDK17_PKc_E7_115.3,CDK17,693,252
CDK17_PKc_E8_95.2,CDK17,778,675
CDK17_PKc_E9_63.2,CDK17,845,891
CDK18_PKc_E10_121.12,CDK18,928,625
CDK18_PKc_E5_45,CDK18,333,307
CDK18_PKc_E6_115.5,CDK18,64,205
CDK18_PKc_E7_95.9,CDK18,729,707
CDK18_PKc_E8_63.3,CDK18,682,399
CDK18_PKc_E9_124.19,CDK18,1014,616
CDK2_PKc_E1_116.9,CDK2,164,70
CDK2_PKc_E2_78.3,CDK2,974,104
CDK2_PKc_E3_121.2,CDK2,517,264
CDK2_PKc_E4_171.1,CDK2,1197,959
CDK2_PKc_E5_102.12,CDK2,787,286
CDK2_PKc_E6_204.3,CDK2,593,689
CDK20_PKc_E1_75.1,CDK20,356,179
CDK20_PKc_E2_114.2,CDK20,481,400
CDK20_PKc_E3_189.5,CDK20,536,622
CDK20_PKc_E4_122.2,CDK20,686,1103
CDK20_PKc_E5_63.6,CDK20,1051,1015
CDK20_PKc_E6_124.5,CDK20,1108,974
CDK3_PKc_E2_116.4,CDK3,1316,1334
CDK3_PKc_E3_78.3,CDK3,904,1032
CDK3_PKc_E4_121,CDK3,846,631
CDK3_PKc_E5_171.11,CDK3,712,890
CDK3_PKc_E6_102,CDK3,532,428
CDK3_PKc_E7_204.1,CDK3,827,1350
CDK4_PKc_E2_206.14,CDK4,1145,217
CDK4_PKc_E3_136.21,CDK4,544,378
CDK4_PKc_E4_168.12,CDK4,1365,1100
CDK4_PKc_E5_110.4,CDK4,988,539
CDK4_PKc_E6_51,CDK4,484,414
CDK4_PKc_E7_136.28,CDK4,238,136
CDK5_PKc_E1_37.2,CDK5,779,506
CDK5_PKc_E2_89.3,CDK5,692,334
CDK5_PKc_E3_68,CDK5,210,106
CDK5_PKc_E5_57.1,CDK5,1093,1210
CDK5_PKc_E6_96.4,CDK5,1029,651
CDK5_PKc_E7_75.5,CDK5,555,485
CDK6_PKc_E2_203.31,CDK6,745,397
CDK6_PKc_E3_136.2,CDK6,424,369
CDK6_PKc_E4_168.11,CDK6,2011,1977
CDK6_PKc_E5_110.8,CDK6,180,96
CDK6_PKc_E6_51.2,CDK6,621,602
CDK6_PKc_E7_136.3,CDK6,1014,1183
CDK7_PKc_E1_48,CDK7,890,477
CDK7_PKc_E2_60.3,CDK7,968,235
CDK7_PKc_E4_68.3,CDK7,465,555
CDK7_PKc_E5_69.2,CDK7,447,426
CDK7_PKc_E6_111.3,CDK7,751,323
CDK7_PKc_E7_119.11,CDK7,366,345
CDK9_PKc_E1_77.1,CDK9,1257,890
CDK9_PKc_E1_77.4,CDK9,1097,903
CDK9_PKc_E4_167.13,CDK9,1564,1324
CDK9_PKc_E6_149.13,CDK9,924,464
CDK9_PKc_E7_192.9,CDK9,694,1285
CDKL1_PKc_E1_165.12,CDKL1,834,909
CDKL1_PKc_E2_122,CDKL1,637,666
CDKL1_PKc_E3_73.1,CDKL1,611,393
CDKL1_PKc_E4_91.3,CDKL1,1198,1376
CDKL1_PKc_E5_201.9,CDKL1,1274,1002
CDKL1_PKc_E6_83.1,CDKL1,593,412
CDKL2_PKc_E2_165.1,CDKL2,627,954
CDKL2_PKc_E3_195.7,CDKL2,951,617
CDKL2_PKc_E4_179.16,CDKL2,487,927
CDKL2_PKc_E5_113.6,CDKL2,444,265
CDKL2_PKc_E6_140,CDKL2,682,710
CDKL2_PKc_E7_66.4,CDKL2,522,393
CDKL3_PKc_E2_162.7,CDKL3,921,867
CDKL3_PKc_E3_195.2,CDKL3,995,904
CDKL3_PKc_E4_179.6,CDKL3,453,779
CDKL3_PKc_E5_113.2,CDKL3,452,270
CDKL3_PKc_E6_140.5,CDKL3,972,1032
CDKL3_PKc_E7_66.1,CDKL3,593,944
CDKL4_PKc_E1_165.9,CDKL4,1063,1061
CDKL4_PKc_E2_122,CDKL4,641,727
CDKL4_PKc_E3_73,CDKL4,943,956
CDKL4_PKc_E4_91.2,CDKL4,346,335
CDKL4_PKc_E5_198.19,CDKL4,847,740
CDKL4_PKc_E6_83.2,CDKL4,453,659
CDKL5_PKc_E2_34,CDKL5,1202,1729
CDKL5_PKc_E3_35,CDKL5,2119,2808
CDKL5_PKc_E4_46,CDKL5,726,838
CDKL5_PKc_E5_137.5,CDKL5,977,1498
CDKL5_PKc_E6_121.2,CDKL5,1239,1085
CDKL5_PKc_E7_60,CDKL5,1482,1737
CHEK1_PKc_E2_65.4,CHEK1,810,89
CHEK1_PKc_E3_224.1,CHEK1,1169,837
CHEK1_PKc_E4_65.6,CHEK1,764,625
CHEK1_PKc_E5_70.1,CHEK1,337,303
CHEK1_PKc_E6_189.6,CHEK1,686,439
CHEK1_PKc_E7_105.1,CHEK1,1585,1006
CHEK2_PKc_E10_87.3,CHEK2,584,577
CHEK2_PKc_E5_47.1,CHEK2,765,699
CHEK2_PKc_E6_109.1,CHEK2,355,414
CHEK2_PKc_E7_54.1,CHEK2,374,450
CHEK2_PKc_E8_62.1,CHEK2,516,696
CHEK2_PKc_E9_100.2,CHEK2,374,454
CHUK_PKc_E1_63.6,CHUK,1064,939
CHUK_PKc_E2_95.2,CHUK,1304,1738
CHUK_PKc_E3_115,CHUK,501,761
CHUK_PKc_E4_70.2,CHUK,278,315
CHUK_PKc_E5_89,CHUK,475,541
CHUK_PKc_E6_90.5,CHUK,424,695
CIT_PKc_E4_132.1,CIT,416,381
CIT_PKc_E5_102.1,CIT,875,1173
CIT_PKc_E6_143.9,CIT,375,140
CIT_PKc_E7_94,CIT,1351,995
CIT_PKc_E8_204,CIT,915,1016
CIT_PKc_E9_154.9,CIT,549,543
CLK1_PKc_E4_40,CLK1,472,380
CLK1_PKc_E5_67,CLK1,534,420
CLK1_PKc_E6_117.1,CLK1,313,426
CLK1_PKc_E7_167.7,CLK1,924,704
CLK1_PKc_E8_95,CLK1,1105,842
