sgRNA,Gene,A2780_Ts2_D0,A2780_Ts2_D10
AAK1_PKc_E2_40.1,AAK1,366,1
AAK1_PKc_E3_119.6,AAK1,76,1
AAK1_PKc_E4_109.3,AAK1,310,184
AAK1_PKc_E5_143.1,AAK1,194,1
AAK1_PKc_E6_122,AAK1,997,181
AAK1_PKc_E7_82.6,AAK1,534,24
AATK_PKc_E4_36,AATK,580,1
AATK_PKc_E5_119.11,AATK,1252,1599
AATK_PKc_E6_88.9,AATK,613,1
AATK_PKc_E7_134.11,AATK,420,81
AATK_PKc_E8_85.7,AATK,1815,1059
AATK_PKc_E9_122.1,AATK,495,25
ABL1_PKc_E4_120.11,ABL1,677,64
ABL1_PKc_E5_85,ABL1,1798,4867
ABL1_PKc_E6_178.11,ABL1,1348,161
ABL1_PKc_E7_185.15,ABL1,2971,1075
ABL1_PKc_E8_153.18,ABL1,1378,222
ABL1_PKc_E9_68,ABL1,824,42
ABL2_PKc_E10_68.4,ABL2,711,11
ABL2_PKc_E5_120.8,ABL2,435,22
ABL2_PKc_E6_85.1,ABL2,771,174
ABL2_PKc_E7_178.9,ABL2,1405,112
ABL2_PKc_E8_185,ABL2,588,162
ABL2_PKc_E9_153.7,ABL2,2108,195
ACVR1_PKc_E10_131,ACVR1,675,1
ACVR1_PKc_E11_102.2,ACVR1,1005,7
ACVR1_PKc_E6_40,ACVR1,729,3548
ACVR1_PKc_E7_147.15,ACVR1,596,30
ACVR1_PKc_E8_276.19,ACVR1,125,1
ACVR1_PKc_E9_198.4,ACVR1,1698,214
ACVR1B_PKc_E10_102.5,ACVR1B,130,1
ACVR1B_PKc_E4_193.4,ACVR1B,861,192
ACVR1B_PKc_E5_123.4,ACVR1B,3320,6444
ACVR1B_PKc_E6_168.13,ACVR1B,1878,11
ACVR1B_PKc_E7_157.5,ACVR1B,1226,7732
ACVR1B_PKc_E9_131.14,ACVR1B,183,1
ACVR1C_PKc_E4_193.16,ACVR1C,1011,11
ACVR1C_PKc_E5_168.6,ACVR1C,848,349
ACVR1C_PKc_E6_157.1,ACVR1C,1358,19
ACVR1C_PKc_E7_125.7,ACVR1C,335,1
ACVR1C_PKc_E8_131.1,ACVR1C,891,6
ACVR1C_PKc_E9_102.6,ACVR1C,2313,1141
ACVR2A_PKc_E10_131.1,ACVR2A,1355,158
ACVR2A_PKc_E5_87.3,ACVR2A,633,58
ACVR2A_PKc_E6_144,ACVR2A,709,82
ACVR2A_PKc_E7_146.12,ACVR2A,919,517
ACVR2A_PKc_E8_115.6,ACVR2A,1739,889
ACVR2A_PKc_E9_139.9,ACVR2A,2228,473
ACVRL1_PKc_E6_147.3,ACVRL1,844,827
ACVRL1_PKc_E6_147.8,ACVRL1,447,3
ACVRL1_PKc_E8_198.28,ACVRL1,385,157
ACVRL1_PKc_E8_198.4,ACVRL1,2390,36
ACVRL1_PKc_E9_131,ACVRL1,214,1
ACVRL1_PKc_E9_131.6,ACVRL1,2870,96
ADCK1_PKc_E5_159.11,ADCK1,2109,1000
ADCK1_PKc_E5_159.31,ADCK1,1331,60
ADCK1_PKc_E6_159.6,ADCK1,219,36
ADCK1_PKc_E7_117.13,ADCK1,1112,3
ADCK1_PKc_E8_150.18,ADCK1,946,139
ADCK1_PKc_E9_99.4,ADCK1,909,43
ADCK2_PKc_E1_534.7,ADCK2,58,1
ADCK2_PKc_E3_129.17,ADCK2,622,675
ADCK2_PKc_E4_96.5,ADCK2,823,20
ADCK2_PKc_E6_129.2,ADCK2,580,1
ADCK2_PKc_E7_54,ADCK2,2767,5209
ADCK2_PKc_E8_114.6,ADCK2,1436,435
ADCK3_PKc_E10_94.9,ADCK3,760,79
ADCK3_PKc_E11_142.6,ADCK3,430,74
ADCK3_PKc_E12_108.8,ADCK3,1190,1
ADCK3_PKc_E13_66.1,ADCK3,870,76
ADCK3_PKc_E8_141.23,ADCK3,1728,1599
ADCK3_PKc_E9_82.2,ADCK3,1665,761
ADCK4_PKc_E10_94.6,ADCK4,429,1
ADCK4_PKc_E12_108.1,ADCK4,1034,80
ADCK4_PKc_E13_66.2,ADCK4,888,104
ADCK4_PKc_E14_87.6,ADCK4,1300,77
ADCK4_PKc_E8_141.12,ADCK4,372,35
ADCK4_PKc_E9_82.4,ADCK4,411,1
ADCK5_PKc_E10_82.1,ADCK5,740,25
ADCK5_PKc_E11_79.1,ADCK5,1728,714
ADCK5_PKc_E12_52.5,ADCK5,1131,9
ADCK5_PKc_E7_114.17,ADCK5,1229,675
ADCK5_PKc_E8_132.7,ADCK5,515,1
ADCK5_PKc_E9_84.2,ADCK5,714,435
ADRBK1_PKc_E10_79.2,ADRBK1,1501,31
ADRBK1_PKc_E11_131.9,ADRBK1,763,43
ADRBK1_PKc_E12_95.3,ADRBK1,2026,747
ADRBK1_PKc_E13_108.17,ADRBK1,810,139
ADRBK1_PKc_E8_80.4,ADRBK1,213,1
ADRBK1_PKc_E9_100.8,ADRBK1,250,3
ADRBK2_PKc_E10_79.5,ADRBK2,63,1
ADRBK2_PKc_E11_131.8,ADRBK2,1383,715
ADRBK2_PKc_E12_95.1,ADRBK2,1959,111
ADRBK2_PKc_E13_108.5,ADRBK2,1148,57
ADRBK2_PKc_E8_92.2,ADRBK2,891,5922
ADRBK2_PKc_E9_100.2,ADRBK2,1350,15
AK1_PKc_E3_28,AK1,1595,117
AK1_PKc_E3_28.1,AK1,141,1
AK1_PKc_E4_164.19,AK1,770,274
AK1_PKc_E4_164.27,AK1,2122,324
AK1_PKc_E5_117.13,AK1,549,22
AK1_PKc_E5_117.2,AK1,193,1
AK2_PKc_E6_159,AK2,2465,245
AK2_PKc_E6_159.16,AK2,567,47
AK2_PKc_E6_159.17,AK2,287,35
AK2_PKc_E6_159.19,AK2,1284,10
AK2_PKc_E6_159.21,AK2,747,5
AK2_PKc_E6_159.6,AK2,7,7
AK3_PKc_E1_127.14,AK3,472,2
AK3_PKc_E1_127.18,AK3,183,1
AK3_PKc_E2_120.3,AK3,2933,1469
AK3_PKc_E3_173.2,AK3,1271,1
AK3_PKc_E4_119.7,AK3,431,1
AK3_PKc_E5_40,AK3,959,1
AKT1_PKc_E10_129.13,AKT1,688,8
AKT1_PKc_E5_66.5,AKT1,768,496
AKT1_PKc_E6_132.15,AKT1,814,9
AKT1_PKc_E7_66.3,AKT1,991,32
AKT1_PKc_E8_69.2,AKT1,1114,1769
AKT1_PKc_E9_126.3,AKT1,859,616
AKT2_PKc_E10_129.1,AKT2,514,286
AKT2_PKc_E11_215.3,AKT2,173,1
AKT2_PKc_E6_120.14,AKT2,344,1
AKT2_PKc_E7_66.3,AKT2,428,20
AKT2_PKc_E8_69.8,AKT2,759,9
AKT2_PKc_E9_123.8,AKT2,187,1
AKT3_PKc_E10_215.1,AKT3,282,10
AKT3_PKc_E4_36,AKT3,1616,433
AKT3_PKc_E5_132.2,AKT3,1615,71
AKT3_PKc_E7_69.7,AKT3,2859,772
AKT3_PKc_E8_123.3,AKT3,2034,3168
AKT3_PKc_E9_129.5,AKT3,600,111
ALK_PKc_E20_35,ALK,779,168
ALK_PKc_E21_91.12,ALK,301,961
ALK_PKc_E22_65.1,ALK,257,1
ALK_PKc_E23_130,ALK,3176,4042
ALK_PKc_E24_98.8,ALK,3620,339
ALK_PKc_E25_93.7,ALK,461,12
AMHR2_PKc_E10_137.5,AMHR2,1352,173
AMHR2_PKc_E11_108.5,AMHR2,962,107
AMHR2_PKc_E6_231.14,AMHR2,927,54
AMHR2_PKc_E7_115.1,AMHR2,718,18
AMHR2_PKc_E8_173.31,AMHR2,2047,1336
AMHR2_PKc_E9_148.14,AMHR2,360,16
ANKK1_PKc_E1_113.15,ANKK1,718,571
ANKK1_PKc_E1_113.4,ANKK1,2600,1429
ANKK1_PKc_E2_295.2,ANKK1,517,6
ANKK1_PKc_E3_152.22,ANKK1,636,34
ANKK1_PKc_E5_156.2,ANKK1,198,1
ANKK1_PKc_E6_41,ANKK1,503,1
ARAF_PKc_E10_152.4,ARAF,4251,1415
ARAF_PKc_E10_152.5,ARAF,797,2
ARAF_PKc_E11_177.1,ARAF,264,1
ARAF_PKc_E11_177.9,ARAF,632,1
ARAF_PKc_E12_47,ARAF,516,61
ARAF_PKc_E14_132.7,ARAF,2623,93
ATM_PKc_E60_115.5,ATM,1346,19
ATM_PKc_E60_115.6,ATM,653,1
ATM_PKc_E61_64,ATM,255,18
ATM_PKc_E61_64.1,ATM,2485,134
ATM_PKc_E62_36,ATM,1143,32
ATM_PKc_E62_36.1,ATM,1582,158
ATR_PKc_E41_144.3,ATR,768,1
ATR_PKc_E42_151.4,ATR,661,1
ATR_PKc_E43_157.9,ATR,805,170
ATR_PKc_E44_154.6,ATR,59,1
ATR_PKc_E45_152,ATR,1186,1
ATR_PKc_E46_46.1,ATR,1023,8
AURKA_PKc_E10_175.19,AURKA,1132,141
AURKA_PKc_E7_188.1,AURKA,20,1
AURKA_PKc_E7_188.1,AURKA,179,1
AURKA_PKc_E8_139,AURKA,1045,117
AURKA_PKc_E8_139.6,AURKA,209,1
AURKA_PKc_E9_149.6,AURKA,1008,9069
AURKB_PKc_E5_191.1,AURKB,744,97
AURKB_PKc_E5_191.2,AURKB,76,1
AURKB_PKc_E6_139.5,AURKB,384,13
